%time,field.header.seq,field.header.stamp,field.point.x,field.point.y,field.point.z,field.time_ref
1423458518231515971,1444,1423458518220503091,0.189,0.27,0.254,1423494994599999904
1423458518495107249,1445,1423458518452291965,0.189,0.27,0.254,1423494994799999952
1423458518758740560,1446,1423458518709973096,0.189,0.27,0.254,1423494995000000000
1423458518972332102,1447,1423458518971709012,0.189,0.27,0.254,1423494995299999952
1423458519235901393,1448,1423458519201452016,0.189,0.27,0.254,1423494995500000000
1423458519449533073,1449,1423458519432235956,0.189,0.27,0.254,1423494995799999952
1423458519713160400,1450,1423458519672080993,0.189,0.27,0.254,1423494996000000000
1423458519926761350,1451,1423458519902801036,0.189,0.27,0.254,1423494996200000047
1423458520140417315,1452,1423458520133636951,0.189,0.27,0.254,1423494996500000000
1423458520404047502,1453,1423458520361346006,0.189,0.27,0.254,1423494996700000047
1423458520617684230,1454,1423458520591098070,0.189,0.27,0.254,1423494996900000095
1423458520831302675,1455,1423458520820843935,0.189,0.27,0.254,1423494997200000047
1423458521094965638,1456,1423458521051584005,0.189,0.27,0.254,1423494997400000095
1423458521308597591,1457,1423458521283351898,0.189,0.27,0.254,1423494997599999904
1423458521572274399,1458,1423458521522166013,0.189,0.27,0.254,1423494997900000095
1423458521785867965,1459,1423458521752881050,0.189,0.27,0.254,1423494998099999904
1423458521999501129,1460,1423458521992594957,0.189,0.27,0.254,1423494998299999952
1423458522263152252,1461,1423458522231395959,0.189,0.269,0.255,1423494998599999904
1423458522476756587,1462,1423458522461107015,0.189,0.27,0.254,1423494998799999952
1423458522740427381,1463,1423458522710741043,0.193,0.269,0.254,1423494999000000000
1423458522954027983,1464,1423458522944490909,0.207,0.264,0.253,1423494999299999952
1423458523217694193,1465,1423458523180237054,0.212,0.266,0.252,1423494999500000000
1423458523431287785,1466,1423458523422075986,0.223,0.269,0.251,1423494999799999952
1423458523694964541,1467,1423458523646781921,0.235,0.274,0.249,1423495000000000000
1423458523908582942,1468,1423458523881505966,0.237,0.27,0.249,1423495000200000047
1423458524172283011,1469,1423458524146168947,0.247,0.269,0.249,1423495000500000000
1423458524385885498,1470,1423458524371921062,0.262,0.267,0.248,1423495000700000047
1423458524649527246,1471,1423458524611675024,0.27,0.269,0.249,1423495000900000095
1423458524863134947,1472,1423458524851495027,0.271,0.268,0.248,1423495001200000047
1423458525126770039,1473,1423458525081182003,0.282,0.27,0.247,1423495001400000095
1423458525340375338,1474,1423458525323932886,0.294,0.269,0.25,1423495001700000047
1423458525553995145,1475,1423458525552712917,0.298,0.269,0.246,1423495001900000095
1423458525817681799,1476,1423458525781469106,0.306,0.265,0.247,1423495002099999904
1423458526031319187,1477,1423458526021557092,0.32,0.266,0.248,1423495002400000095
1423458526295003377,1478,1423458526255069971,0.331,0.268,0.247,1423495002599999904
1423458526508604387,1479,1423458526498805999,0.33,0.266,0.246,1423495002799999952
1423458526772284946,1480,1423458526734620094,0.345,0.268,0.249,1423495003099999904
1423458527035936830,1481,1423458526991332054,0.362,0.262,0.245,1423495003299999952
1423458527249532837,1482,1423458527234100103,0.367,0.264,0.247,1423495003599999904
1423458527513262755,1483,1423458527471857070,0.373,0.264,0.247,1423495003799999952
1423458527726888181,1484,1423458527716528892,0.385,0.267,0.247,1423495004099999904
1423458527990611063,1485,1423458527953284978,0.396,0.267,0.249,1423495004299999952
1423458528204279482,1486,1423458528192071914,0.399,0.267,0.247,1423495004500000000
1423458528467927434,1487,1423458528424866914,0.411,0.263,0.247,1423495004799999952
1423458528681567101,1488,1423458528652645111,0.424,0.264,0.249,1423495005000000000
1423458528945296469,1489,1423458528902390003,0.43,0.264,0.248,1423495005200000047
1423458529158933634,1490,1423458529144166946,0.432,0.265,0.246,1423495005500000000
1423458529422651700,1491,1423458529381902933,0.448,0.265,0.248,1423495005700000047
1423458530086894653,1492,1423458530082169055,0.47,0.263,0.247,1423495006400000095
1423458530350604426,1493,1423458530310883998,0.484,0.267,0.246,1423495006700000047
1423458530564266157,1494,1423458530544622898,0.489,0.267,0.246,1423495006900000095
1423458530828042314,1495,1423458530791414022,0.5,0.267,0.247,1423495007099999904
1423458531041698012,1496,1423458531022104978,0.512,0.263,0.245,1423495007400000095
1423458531255281300,1497,1423458531252863883,0.522,0.265,0.249,1423495007599999904
1423458531519109191,1498,1423458531482695102,0.526,0.265,0.247,1423495007799999952
1423458531782821641,1499,1423458531745397090,0.532,0.266,0.247,1423495008099999904
1423458531996529558,1500,1423458531972158908,0.546,0.267,0.249,1423495008299999952
1423458532210150035,1501,1423458532201948881,0.554,0.263,0.247,1423495008500000000
1423458532473862004,1502,1423458532451761007,0.559,0.264,0.247,1423495008799999952
1423458532737648464,1503,1423458532702394962,0.574,0.263,0.248,1423495009000000000
1423458532951279963,1504,1423458532922245979,0.588,0.267,0.247,1423495009299999952
1423458533164957212,1505,1423458533162930011,0.584,0.266,0.247,1423495009500000000
1423458533428656773,1506,1423458533391787052,0.595,0.267,0.248,1423495009700000047
1423458533642239377,1507,1423458533621439933,0.608,0.265,0.246,1423495010000000000
1423458533855885183,1508,1423458533854202985,0.616,0.266,0.247,1423495010200000047
1423458534119617962,1509,1423458534081062078,0.625,0.265,0.248,1423495010400000095
1423458534333247231,1510,1423458534310756921,0.639,0.269,0.247,1423495010700000047
1423458534546843845,1511,1423458534545521974,0.643,0.269,0.247,1423495010900000095
1423458534810564270,1512,1423458534792203903,0.649,0.27,0.247,1423495011099999904
