%time,field.header.seq,field.header.stamp,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1423458518231642650,1,1423458518220503091,0.189,0.27,0.254,0.0,0.0,0.0,1.0
1423458518495244626,2,1423458518452291965,0.189,0.27,0.254,0.0,0.0,0.0,1.0
1423458518758906580,3,1423458518709973096,0.189,0.27,0.254,0.0,0.0,0.0,1.0
1423458518972551627,4,1423458518971709012,0.189,0.27,0.254,0.0,0.0,0.0,1.0
1423458519236219884,5,1423458519201452016,0.189,0.27,0.254,0.0,0.0,0.0,1.0
1423458519449929624,6,1423458519432235956,0.189,0.27,0.254,0.0,0.0,0.0,1.0
1423458519713609265,7,1423458519672080993,0.189,0.27,0.254,0.0,0.0,0.0,1.0
1423458519927238855,8,1423458519902801036,0.189,0.27,0.254,0.0,0.0,0.0,1.0
1423458520140803128,9,1423458520133636951,0.189,0.27,0.254,0.0,0.0,0.0,1.0
1423458520404498836,10,1423458520361346006,0.189,0.27,0.254,0.0,0.0,0.0,1.0
1423458520618126540,11,1423458520591098070,0.189,0.27,0.254,0.0,0.0,0.0,1.0
1423458520831793248,12,1423458520820843935,0.189,0.27,0.254,0.0,0.0,0.0,1.0
1423458521095504408,13,1423458521051584005,0.189,0.27,0.254,0.0,0.0,0.0,1.0
1423458521309110005,14,1423458521283351898,0.189,0.27,0.254,0.0,0.0,0.0,1.0
1423458521522765035,15,1423458521522166013,0.189,0.27,0.254,0.0,0.0,0.0,1.0
1423458521786477354,16,1423458521752881050,0.189,0.27,0.254,0.0,0.0,0.0,1.0
1423458522000088066,17,1423458521992594957,0.189,0.27,0.254,0.0,0.0,0.0,1.0
1423458522263837128,18,1423458522231395959,0.189,0.269,0.255,0.0,0.0,0.0,1.0
1423458522477419353,19,1423458522461107015,0.189,0.27,0.254,0.0,0.0,0.0,1.0
1423458522741012523,20,1423458522710741043,0.193,0.269,0.254,0.0,0.0,0.0,1.0
1423458522954606356,21,1423458522944490909,0.207,0.264,0.253,0.0,0.0,0.0,1.0
1423458523218304444,22,1423458523180237054,0.212,0.266,0.252,0.0,0.0,0.0,1.0
1423458523431860083,23,1423458523422075986,0.223,0.269,0.251,0.0,0.0,0.0,1.0
1423458523695452064,24,1423458523646781921,0.235,0.274,0.249,0.0,0.0,0.0,1.0
1423458523909056735,25,1423458523881505966,0.237,0.27,0.249,0.0,0.0,0.0,1.0
1423458524172779057,26,1423458524146168947,0.247,0.269,0.249,0.0,0.0,0.0,1.0
1423458524386376674,27,1423458524371921062,0.262,0.267,0.248,0.0,0.0,0.0,1.0
1423458524650149001,28,1423458524611675024,0.27,0.269,0.249,0.0,0.0,0.0,1.0
1423458524863720593,29,1423458524851495027,0.271,0.268,0.248,0.0,0.0,0.0,1.0
1423458525127367721,30,1423458525081182003,0.282,0.27,0.247,0.0,0.0,0.0,1.0
1423458525340998768,31,1423458525323932886,0.294,0.269,0.25,0.0,0.0,0.0,1.0
1423458525554655275,32,1423458525552712917,0.298,0.269,0.246,0.0,0.0,0.0,1.0
1423458525818434682,33,1423458525781469106,0.306,0.265,0.247,0.0,0.0,0.0,1.0
1423458526032103511,34,1423458526021557092,0.32,0.266,0.248,0.0,0.0,0.0,1.0
1423458526295776258,35,1423458526255069971,0.331,0.268,0.247,0.0,0.0,0.0,1.0
1423458526509372303,36,1423458526498805999,0.33,0.266,0.246,0.0,0.0,0.0,1.0
1423458526773062301,37,1423458526734620094,0.345,0.268,0.249,0.0,0.0,0.0,1.0
1423458527036811914,38,1423458526991332054,0.362,0.262,0.245,0.0,0.0,0.0,1.0
1423458527250453154,39,1423458527234100103,0.367,0.264,0.247,0.0,0.0,0.0,1.0
1423458527514095640,40,1423458527471857070,0.373,0.264,0.247,0.0,0.0,0.0,1.0
1423458527727757079,41,1423458527716528892,0.385,0.267,0.247,0.0,0.0,0.0,1.0
1423458527991383167,42,1423458527953284978,0.396,0.267,0.249,0.0,0.0,0.0,1.0
1423458528205094237,43,1423458528192071914,0.399,0.267,0.247,0.0,0.0,0.0,1.0
1423458528468777557,44,1423458528424866914,0.411,0.263,0.247,0.0,0.0,0.0,1.0
1423458528682449335,45,1423458528652645111,0.424,0.264,0.249,0.0,0.0,0.0,1.0
1423458528946290443,46,1423458528902390003,0.43,0.264,0.248,0.0,0.0,0.0,1.0
1423458529159969675,47,1423458529144166946,0.432,0.265,0.246,0.0,0.0,0.0,1.0
1423458529423666981,48,1423458529381902933,0.448,0.265,0.248,0.0,0.0,0.0,1.0
1423458530087937619,49,1423458530082169055,0.47,0.263,0.247,0.0,0.0,0.0,1.0
1423458530351700603,50,1423458530310883998,0.484,0.267,0.246,0.0,0.0,0.0,1.0
1423458530565315556,51,1423458530544622898,0.489,0.267,0.246,0.0,0.0,0.0,1.0
1423458530829053366,52,1423458530791414022,0.5,0.267,0.247,0.0,0.0,0.0,1.0
1423458531042697927,53,1423458531022104978,0.512,0.263,0.245,0.0,0.0,0.0,1.0
1423458531256338762,54,1423458531252863883,0.522,0.265,0.249,0.0,0.0,0.0,1.0
1423458531520095638,55,1423458531482695102,0.526,0.265,0.247,0.0,0.0,0.0,1.0
1423458531783795868,56,1423458531745397090,0.532,0.266,0.247,0.0,0.0,0.0,1.0
1423458531997489722,57,1423458531972158908,0.546,0.267,0.249,0.0,0.0,0.0,1.0
1423458532211048912,58,1423458532201948881,0.554,0.263,0.247,0.0,0.0,0.0,1.0
1423458532474686499,59,1423458532451761007,0.559,0.264,0.247,0.0,0.0,0.0,1.0
1423458532738380917,60,1423458532702394962,0.574,0.263,0.248,0.0,0.0,0.0,1.0
1423458532952020762,61,1423458532922245979,0.588,0.267,0.247,0.0,0.0,0.0,1.0
1423458533165648700,62,1423458533162930011,0.584,0.266,0.247,0.0,0.0,0.0,1.0
1423458533429360349,63,1423458533391787052,0.595,0.267,0.248,0.0,0.0,0.0,1.0
1423458533642990165,64,1423458533621439933,0.608,0.265,0.246,0.0,0.0,0.0,1.0
1423458533856569833,65,1423458533854202985,0.616,0.266,0.247,0.0,0.0,0.0,1.0
1423458534120316247,66,1423458534081062078,0.625,0.265,0.248,0.0,0.0,0.0,1.0
1423458534333916949,67,1423458534310756921,0.639,0.269,0.247,0.0,0.0,0.0,1.0
1423458534547505422,68,1423458534545521974,0.643,0.269,0.247,0.0,0.0,0.0,1.0
1423458534811173369,69,1423458534792203903,0.649,0.27,0.247,0.0,0.0,0.0,1.0
1423458535024793221,70,1423458535021981954,0.658,0.267,0.247,0.0,0.0,0.0,1.0
1423458535288453619,71,1423458535252686023,0.674,0.267,0.25,0.0,0.0,0.0,1.0
1423458535502062416,72,1423458535483401060,0.677,0.265,0.25,0.0,0.0,0.0,1.0
1423458535715657211,73,1423458535715183019,0.684,0.272,0.246,0.0,0.0,0.0,1.0
1423458535979337663,74,1423458535946950912,0.696,0.27,0.249,0.0,0.0,0.0,1.0
1423458536192944410,75,1423458536182682037,0.707,0.27,0.246,0.0,0.0,0.0,1.0
1423458536456630301,76,1423458536412502050,0.71,0.268,0.247,0.0,0.0,0.0,1.0
1423458536670231416,77,1423458536645246982,0.724,0.268,0.249,0.0,0.0,0.0,1.0
1423458536883913436,78,1423458536872076034,0.735,0.27,0.249,0.0,0.0,0.0,1.0
1423458537147468723,79,1423458537116728067,0.736,0.272,0.248,0.0,0.0,0.0,1.0
1423458537360997067,80,1423458537346533060,0.748,0.272,0.249,0.0,0.0,0.0,1.0
1423458537574494239,81,1423458537571324110,0.754,0.27,0.248,0.0,0.0,0.0,1.0
1423458537838159650,82,1423458537802046060,0.762,0.273,0.247,0.0,0.0,0.0,1.0
1423458538051798298,83,1423458538032838106,0.773,0.272,0.249,0.0,0.0,0.0,1.0
1423458538265405607,84,1423458538261626005,0.786,0.278,0.247,0.0,0.0,0.0,1.0
1423458538529152481,85,1423458538501341104,0.79,0.277,0.248,0.0,0.0,0.0,1.0
1423458538742825957,86,1423458538733110904,0.799,0.278,0.248,0.0,0.0,0.0,1.0
1423458539006613073,87,1423458538982744932,0.81,0.276,0.246,0.0,0.0,0.0,1.0
1423458539220339306,88,1423458539212516069,0.823,0.277,0.251,0.0,0.0,0.0,1.0
1423458539484210025,89,1423458539442274093,0.827,0.276,0.25,0.0,0.0,0.0,1.0
1423458539697952203,90,1423458539682020902,0.832,0.282,0.247,0.0,0.0,0.0,1.0
1423458539961662575,91,1423458539922768115,0.848,0.282,0.25,0.0,0.0,0.0,1.0
1423458540175323986,92,1423458540163507938,0.859,0.28,0.249,0.0,0.0,0.0,1.0
1423458540439154339,93,1423458540402245998,0.863,0.284,0.248,0.0,0.0,0.0,1.0
1423458540652714056,94,1423458540642962932,0.873,0.283,0.249,0.0,0.0,0.0,1.0
1423458540916455046,95,1423458540876718997,0.888,0.287,0.248,0.0,0.0,0.0,1.0
1423458541130235538,96,1423458541125400066,0.891,0.288,0.248,0.0,0.0,0.0,1.0
1423458541394004472,97,1423458541362241983,0.9,0.29,0.248,0.0,0.0,0.0,1.0
1423458541607695841,98,1423458541601995944,0.909,0.288,0.248,0.0,0.0,0.0,1.0
1423458541871430847,99,1423458541843769073,0.922,0.29,0.252,0.0,0.0,0.0,1.0
1423458542585861699,100,1423458542560955047,0.945,0.296,0.25,0.0,0.0,0.0,1.0
1423458542849592234,101,1423458542802684068,0.957,0.293,0.248,0.0,0.0,0.0,1.0
1423458543063282594,102,1423458543042413949,0.96,0.296,0.248,0.0,0.0,0.0,1.0
1423458543326915311,103,1423458543282140970,0.972,0.296,0.249,0.0,0.0,0.0,1.0
1423458543540487947,104,1423458543509941101,0.98,0.301,0.248,0.0,0.0,0.0,1.0
1423458543754097528,105,1423458543744637012,0.985,0.301,0.248,0.0,0.0,0.0,1.0
1423458544017776454,106,1423458543972440958,0.997,0.304,0.248,0.0,0.0,0.0,1.0
1423458544231415371,107,1423458544203207969,1.011,0.302,0.247,0.0,0.0,0.0,1.0
1423458544444984280,108,1423458544434917926,1.018,0.304,0.249,0.0,0.0,0.0,1.0
1423458544708608332,109,1423458544694677114,1.023,0.305,0.249,0.0,0.0,0.0,1.0
1423458544972269954,110,1423458544924386024,1.035,0.31,0.247,0.0,0.0,0.0,1.0
1423458545185857524,111,1423458545154233932,1.045,0.312,0.251,0.0,0.0,0.0,1.0
1423458545399405852,112,1423458545392968893,1.053,0.311,0.247,0.0,0.0,0.0,1.0
1423458545663098950,113,1423458545633754014,1.054,0.313,0.247,0.0,0.0,0.0,1.0
1423458545876710128,114,1423458545872515916,1.071,0.312,0.249,0.0,0.0,0.0,1.0
1423458546140427394,115,1423458546112235069,1.081,0.315,0.25,0.0,0.0,0.0,1.0
1423458546354308884,116,1423458546353938102,1.083,0.317,0.249,0.0,0.0,0.0,1.0
1423458546618078188,117,1423458546594727993,1.096,0.319,0.25,0.0,0.0,0.0,1.0
1423458546881741710,118,1423458546832432985,1.109,0.317,0.248,0.0,0.0,0.0,1.0
1423458547095323936,119,1423458547072180032,1.116,0.319,0.25,0.0,0.0,0.0,1.0
1423458547358954281,120,1423458547311942100,1.122,0.321,0.25,0.0,0.0,0.0,1.0
1423458547572553894,121,1423458547554584026,1.133,0.326,0.249,0.0,0.0,0.0,1.0
1423458547786174569,122,1423458547785379886,1.14,0.329,0.25,0.0,0.0,0.0,1.0
1423458548049805342,123,1423458548023087978,1.149,0.329,0.248,0.0,0.0,0.0,1.0
1423458548263400004,124,1423458548252876996,1.157,0.329,0.248,0.0,0.0,0.0,1.0
1423458548527115441,125,1423458548483556985,1.172,0.331,0.252,0.0,0.0,0.0,1.0
1423458548890932741,126,1423458548845185041,1.182,0.335,0.249,0.0,0.0,0.0,1.0
1423458549104600435,127,1423458549091943979,1.183,0.336,0.249,0.0,0.0,0.0,1.0
1423458549368296213,128,1423458549323718070,1.196,0.339,0.249,0.0,0.0,0.0,1.0
1423458549581888871,129,1423458549562477111,1.207,0.338,0.248,0.0,0.0,0.0,1.0
1423458549795490758,130,1423458549792279958,1.221,0.341,0.253,0.0,0.0,0.0,1.0
1423458550059125855,131,1423458550023005008,1.223,0.342,0.25,0.0,0.0,0.0,1.0
1423458550272848007,132,1423458550262839078,1.229,0.345,0.249,0.0,0.0,0.0,1.0
1423458550536636116,133,1423458550518434047,1.243,0.349,0.251,0.0,0.0,0.0,1.0
1423458550750377469,134,1423458550745260000,1.253,0.346,0.249,0.0,0.0,0.0,1.0
1423458551014246335,135,1423458550984091043,1.255,0.35,0.249,0.0,0.0,0.0,1.0
1423458551227957173,136,1423458551224019050,1.268,0.351,0.25,0.0,0.0,0.0,1.0
1423458551491656013,137,1423458551452503919,1.281,0.354,0.25,0.0,0.0,0.0,1.0
1423458551705345025,138,1423458551698292970,1.281,0.354,0.25,0.0,0.0,0.0,1.0
1423458551969055233,139,1423458551935990095,1.292,0.359,0.25,0.0,0.0,0.0,1.0
1423458552182736576,140,1423458552171933889,1.305,0.356,0.248,0.0,0.0,0.0,1.0
1423458552446414567,141,1423458552412622928,1.314,0.36,0.253,0.0,0.0,0.0,1.0
1423458552660069270,142,1423458552653333902,1.317,0.364,0.25,0.0,0.0,0.0,1.0
1423458552923859768,143,1423458552893136024,1.33,0.368,0.249,0.0,0.0,0.0,1.0
1423458553137527425,144,1423458553134891033,1.333,0.369,0.251,0.0,0.0,0.0,1.0
1423458553401219277,145,1423458553363684892,1.342,0.371,0.25,0.0,0.0,0.0,1.0
1423458553614896889,146,1423458553592421054,1.349,0.372,0.249,0.0,0.0,0.0,1.0
1423458553828514169,147,1423458553823118925,1.364,0.373,0.253,0.0,0.0,0.0,1.0
1423458554092175906,148,1423458554052875995,1.368,0.376,0.251,0.0,0.0,0.0,1.0
1423458554806395898,149,1423458554762155055,1.398,0.381,0.25,0.0,0.0,0.0,1.0
1423458555020060549,150,1423458554992907047,1.398,0.385,0.249,0.0,0.0,0.0,1.0
1423458555233655456,151,1423458555223846912,1.409,0.388,0.25,0.0,0.0,0.0,1.0
1423458555497282969,152,1423458555453363895,1.42,0.394,0.249,0.0,0.0,0.0,1.0
1423458555710850421,153,1423458555681180953,1.426,0.395,0.249,0.0,0.0,0.0,1.0
1423458555924508856,154,1423458555923911094,1.436,0.398,0.249,0.0,0.0,0.0,1.0
1423458556188149949,155,1423458556163695096,1.448,0.398,0.248,0.0,0.0,0.0,1.0
1423458556451857199,156,1423458556403358936,1.456,0.4,0.251,0.0,0.0,0.0,1.0
1423458556665548436,157,1423458556644136905,1.459,0.402,0.25,0.0,0.0,0.0,1.0
1423458556929288124,158,1423458556881951093,1.471,0.408,0.249,0.0,0.0,0.0,1.0
1423458557142881065,159,1423458557113660097,1.478,0.408,0.253,0.0,0.0,0.0,1.0
1423458557356442494,160,1423458557347451925,1.488,0.408,0.249,0.0,0.0,0.0,1.0
1423458557620213071,161,1423458557583226919,1.493,0.412,0.248,0.0,0.0,0.0,1.0
1423458557833925877,162,1423458557823959112,1.507,0.414,0.253,0.0,0.0,0.0,1.0
1423458558097626282,163,1423458558063939094,1.509,0.416,0.251,0.0,0.0,0.0,1.0
1423458558311195769,164,1423458558308475971,1.517,0.42,0.249,0.0,0.0,0.0,1.0
1423458558574894874,165,1423458558537215948,1.528,0.425,0.25,0.0,0.0,0.0,1.0
1423458558788494728,166,1423458558766047954,1.537,0.426,0.249,0.0,0.0,0.0,1.0
1423458559052349774,167,1423458559003773927,1.544,0.427,0.249,0.0,0.0,0.0,1.0
1423458559266033331,168,1423458559232538938,1.553,0.429,0.249,0.0,0.0,0.0,1.0
1423458559479588527,169,1423458559464262008,1.563,0.436,0.248,0.0,0.0,0.0,1.0
1423458559743361646,170,1423458559708030939,1.568,0.436,0.249,0.0,0.0,0.0,1.0
1423458559957070628,171,1423458559945808887,1.58,0.438,0.249,0.0,0.0,0.0,1.0
1423458560220839726,172,1423458560183474063,1.588,0.441,0.248,0.0,0.0,0.0,1.0
1423458560434542074,173,1423458560423276901,1.601,0.442,0.251,0.0,0.0,0.0,1.0
1423458560698269190,174,1423458560677018880,1.604,0.444,0.251,0.0,0.0,0.0,1.0
1423458560911923811,175,1423458560902750015,1.61,0.448,0.25,0.0,0.0,0.0,1.0
1423458561175706181,176,1423458561135463953,1.62,0.453,0.252,0.0,0.0,0.0,1.0
1423458561389414939,177,1423458561363207101,1.63,0.45,0.249,0.0,0.0,0.0,1.0
1423458561603122296,178,1423458561592992067,1.63,0.456,0.248,0.0,0.0,0.0,1.0
1423458561866956611,179,1423458561823724031,1.645,0.456,0.25,0.0,0.0,0.0,1.0
1423458562080705226,180,1423458562053515911,1.649,0.462,0.249,0.0,0.0,0.0,1.0
1423458562294335864,181,1423458562281208038,1.655,0.461,0.249,0.0,0.0,0.0,1.0
1423458562558038749,182,1423458562526061058,1.668,0.465,0.25,0.0,0.0,0.0,1.0
1423458562771689984,183,1423458562763804912,1.682,0.464,0.249,0.0,0.0,0.0,1.0
1423458563035383257,184,1423458563003413915,1.686,0.467,0.25,0.0,0.0,0.0,1.0
