%time,field.header.seq,field.header.stamp,field.point.x,field.point.y,field.point.z,field.time_ref
1423459292440965840,113,1423459292403201103,0.302,0.039,0.25,1423495768700000047
1423459292654487729,114,1423459292633949041,0.302,0.039,0.25,1423495769000000000
1423459292868131745,115,1423459292865796089,0.302,0.04,0.25,1423495769200000047
1423459293131729934,116,1423459293093580007,0.302,0.04,0.25,1423495769400000095
1423459293345353574,117,1423459293326256036,0.302,0.039,0.25,1423495769700000047
1423459293558988032,118,1423459293555082082,0.302,0.039,0.25,1423495769900000095
1423459293822656112,119,1423459293784799098,0.302,0.039,0.25,1423495770099999904
1423459294036274909,120,1423459294014662027,0.302,0.039,0.25,1423495770299999952
1423459294249911310,121,1423459294244326114,0.302,0.04,0.25,1423495770599999904
1423459294513624556,122,1423459294484049081,0.302,0.039,0.25,1423495770799999952
1423459294777434983,123,1423459294731822013,0.302,0.04,0.25,1423495771099999904
1423459294991092362,124,1423459294964553117,0.302,0.04,0.25,1423495771299999952
1423459295204842359,125,1423459295195245981,0.312,0.034,0.246,1423495771500000000
1423459295668768701,126,1423459295663795948,0.32,0.038,0.25,1423495772000000000
1423459295932454806,127,1423459295903482913,0.313,0.035,0.243,1423495772200000047
1423459296196152765,128,1423459296157150030,0.321,0.04,0.253,1423495772500000000
1423459296860497694,129,1423459296854435920,0.326,0.035,0.245,1423495773200000047
1423459297124271753,130,1423459297094218015,0.333,0.042,0.257,1423495773400000095
1423459297337945623,131,1423459297336903095,0.337,0.042,0.25,1423495773700000047
1423459297601653688,132,1423459297573771953,0.338,0.04,0.256,1423495773900000095
1423459297815465384,133,1423459297804498910,0.349,0.036,0.25,1423495774099999904
1423459298079257692,134,1423459298034257888,0.343,0.037,0.259,1423495774400000095
1423459298292926648,135,1423459298266072988,0.349,0.041,0.249,1423495774599999904
1423459298506662591,136,1423459298493834018,0.352,0.035,0.254,1423495774799999952
1423459298770442747,137,1423459298733525037,0.362,0.032,0.254,1423495775099999904
1423459299234439508,138,1423459299215051889,0.364,0.042,0.251,1423495775500000000
1423459299448085320,139,1423459299444828987,0.365,0.03,0.247,1423495775799999952
1423459299912062141,140,1423459299904366016,0.369,0.039,0.245,1423495776200000047
1423459300426147065,141,1423459300375772953,0.377,0.029,0.244,1423495776700000047
1423459300840023925,142,1423459300834270000,0.381,0.039,0.246,1423495777200000047
1423459301103685017,143,1423459301066014051,0.392,0.038,0.257,1423495777400000095
1423459301317294478,144,1423459301293842077,0.393,0.031,0.251,1423495777599999904
1423459301580975796,145,1423459301543513059,0.398,0.038,0.257,1423495777900000095
1423459301794538944,146,1423459301774277925,0.402,0.038,0.251,1423495778099999904
1423459302058216174,147,1423459302016027927,0.402,0.035,0.252,1423495778299999952
1423459302271846913,148,1423459302256777048,0.41,0.036,0.251,1423495778599999904
1423459302485492155,149,1423459302475564956,0.407,0.035,0.251,1423495778799999952
1423459302749163402,150,1423459302728370904,0.415,0.04,0.25,1423495779099999904
1423459303062985573,151,1423459303021066904,0.412,0.033,0.241,1423495779400000095
1423459303626970190,152,1423459303625416040,0.426,0.044,0.252,1423495780000000000
1423459303890736345,153,1423459303854198932,0.424,0.036,0.243,1423495780200000047
1423459304354671072,154,1423459304316687107,0.429,0.043,0.246,1423495780599999904
1423459304818636836,155,1423459304784216880,0.432,0.038,0.248,1423495781099999904
1423459305032287943,156,1423459305025002956,0.444,0.046,0.258,1423495781400000095
1423459305295996019,157,1423459305265678882,0.443,0.045,0.252,1423495781599999904
1423459305509672303,158,1423459305504508018,0.437,0.045,0.255,1423495781799999952
1423459305773417228,159,1423459305749192953,0.443,0.041,0.252,1423495782099999904
1423459305987126291,160,1423459305984929084,0.445,0.043,0.251,1423495782299999952
1423459306250936868,161,1423459306228667974,0.458,0.046,0.251,1423495782599999904
1423459306514774102,162,1423459306465434074,0.448,0.039,0.244,1423495782799999952
1423459306778566178,163,1423459306737147092,0.455,0.041,0.254,1423495783099999904
1423459306942127870,164,1423459306940974950,0.456,0.051,0.253,1423495783299999952
1423459307406137996,165,1423459307394453048,0.463,0.043,0.245,1423495783700000047
1423459307920239364,166,1423459307886993885,0.472,0.051,0.249,1423495784200000047
1423459308133975183,167,1423459308127712011,0.476,0.051,0.253,1423495784500000000
1423459308397586604,168,1423459308355456113,0.474,0.043,0.243,1423495784700000047
1423459309312155285,169,1423459309283417940,0.489,0.049,0.25,1423495785599999904
1423459309575911208,170,1423459309528140068,0.492,0.053,0.253,1423495785900000095
1423459309989873032,171,1423459309984617948,0.496,0.051,0.25,1423495786299999952
1423459310253569258,172,1423459310225404977,0.505,0.05,0.251,1423495786599999904
1423459310467230091,173,1423459310465233087,0.5,0.052,0.245,1423495786799999952
1423459310981203107,174,1423459310967622041,0.511,0.052,0.25,1423495787299999952
1423459311445190674,175,1423459311424206972,0.516,0.057,0.247,1423495787799999952
1423459311658834539,176,1423459311655945062,0.524,0.057,0.253,1423495788000000000
1423459311922666788,177,1423459311886699914,0.522,0.052,0.243,1423495788200000047
1423459312136252572,178,1423459312120538949,0.529,0.059,0.258,1423495788400000095
1423459312349907383,179,1423459312347251892,0.533,0.06,0.251,1423495788700000047
1423459312613697286,180,1423459312575016975,0.534,0.06,0.255,1423495788900000095
1423459312827345154,181,1423459312814769029,0.534,0.056,0.247,1423495789099999904
1423459313091066748,182,1423459313046463966,0.538,0.06,0.253,1423495789400000095
1423459313404840727,183,1423459313357223033,0.546,0.061,0.251,1423495789700000047
1423459313618508409,184,1423459313594928026,0.543,0.056,0.247,1423495789900000095
1423459314332911304,185,1423459314294109106,0.553,0.064,0.256,1423495790599999904
1423459314546586553,186,1423459314537905931,0.558,0.06,0.25,1423495790900000095
1423459314810320904,187,1423459314776606082,0.56,0.062,0.255,1423495791099999904
1423459315023962422,188,1423459315015438079,0.56,0.064,0.246,1423495791299999952
1423459315287795283,189,1423459315244250059,0.563,0.063,0.25,1423495791599999904
1423459315501461429,190,1423459315474988937,0.57,0.06,0.251,1423495791799999952
1423459315965448680,191,1423459315935605049,0.58,0.065,0.251,1423495792299999952
1423459316179087418,192,1423459316176275014,0.575,0.06,0.243,1423495792500000000
1423459316693242859,193,1423459316644893884,0.581,0.063,0.246,1423495793000000000
1423459317107322243,194,1423459317104371070,0.586,0.062,0.244,1423495793400000095
1423459317371092874,195,1423459317338125944,0.595,0.067,0.255,1423495793700000047
1423459317584860525,196,1423459317574896097,0.593,0.068,0.249,1423495793900000095
1423459317848546374,197,1423459317814666986,0.598,0.069,0.257,1423495794099999904
1423459318062206021,198,1423459318045358896,0.599,0.068,0.252,1423495794400000095
1423459318526209148,199,1423459318504925966,0.605,0.071,0.25,1423495794799999952
1423459318789976585,200,1423459318754648923,0.605,0.072,0.256,1423495795099999904
1423459319003691970,201,1423459318984357118,0.611,0.068,0.25,1423495795299999952
1423459319217409661,202,1423459319216109037,0.613,0.07,0.256,1423495795500000000
1423459319481130994,203,1423459319444920063,0.612,0.068,0.247,1423495795799999952
1423459319694792768,204,1423459319674690961,0.617,0.072,0.254,1423495796000000000
1423459319908468357,205,1423459319902455091,0.624,0.069,0.252,1423495796200000047
1423459320172312859,206,1423459320137192010,0.622,0.071,0.249,1423495796500000000
1423459320385960171,207,1423459320366920948,0.632,0.072,0.252,1423495796700000047
1423459320599610644,208,1423459320595668077,0.631,0.071,0.25,1423495796900000095
1423459321514280437,209,1423459321513676881,0.641,0.07,0.245,1423495797799999952
1423459322028352068,210,1423459321985184907,0.646,0.079,0.252,1423495798299999952
1423459322242040496,211,1423459322214869022,0.652,0.077,0.255,1423495798500000000
1423459322455600520,212,1423459322445729970,0.65,0.07,0.245,1423495798799999952
1423459322719337800,213,1423459322675548076,0.66,0.077,0.257,1423495799000000000
1423459322933021864,214,1423459322904208898,0.657,0.075,0.251,1423495799200000047
1423459323146691732,215,1423459323136934995,0.661,0.078,0.257,1423495799500000000
1423459323410422560,216,1423459323365647077,0.663,0.076,0.254,1423495799700000047
1423459323874363319,217,1423459323835187911,0.673,0.08,0.251,1423495800200000047
1423459324088096614,218,1423459324074932098,0.671,0.082,0.254,1423495800400000095
1423459324351835595,219,1423459324315695047,0.679,0.078,0.251,1423495800599999904
1423459324565474228,220,1423459324557394981,0.681,0.082,0.259,1423495800900000095
1423459324829063823,221,1423459324795172929,0.686,0.081,0.252,1423495801099999904
1423459325042722554,222,1423459325024957895,0.682,0.076,0.243,1423495801400000095
1423459325506595408,223,1423459325505445003,0.685,0.081,0.245,1423495801799999952
1423459325770375419,224,1423459325743172883,0.693,0.084,0.253,1423495802099999904
1423459325984067719,225,1423459325964977979,0.692,0.078,0.249,1423495802299999952
1423459326247854327,226,1423459326206687927,0.699,0.086,0.26,1423495802500000000
1423459326461508460,227,1423459326435492038,0.699,0.084,0.251,1423495802799999952
1423459326675223283,228,1423459326670231103,0.703,0.089,0.255,1423495803000000000
1423459326939053450,229,1423459326903980016,0.703,0.082,0.249,1423495803200000047
1423459327152834136,230,1423459327137691974,0.707,0.091,0.257,1423495803500000000
1423459327366482023,231,1423459327365438938,0.708,0.093,0.25,1423495803700000047
1423459327630121941,232,1423459327605248928,0.71,0.092,0.253,1423495803900000095
1423459327843773059,233,1423459327835058927,0.713,0.09,0.248,1423495804200000047
1423459328107495904,234,1423459328069767951,0.71,0.093,0.25,1423495804400000095
1423459328321309751,235,1423459328295548915,0.719,0.097,0.251,1423495804599999904
1423459328535057521,236,1423459328527316093,0.713,0.091,0.249,1423495804900000095
1423459328798756718,237,1423459328756079912,0.72,0.094,0.252,1423495805099999904
1423459329012392662,238,1423459329004790067,0.717,0.098,0.244,1423495805299999952
1423459329276238160,239,1423459329234568119,0.726,0.1,0.252,1423495805599999904
1423459329489909173,240,1423459329476272106,0.728,0.093,0.248,1423495805799999952
1423459330004017052,241,1423459329954685926,0.754,0.095,0.256,1423495806299999952
1423459330217600484,242,1423459330194478988,0.751,0.1,0.257,1423495806500000000
1423459330481372220,243,1423459330436223983,0.769,0.096,0.252,1423495806799999952
1423459330694937965,244,1423459330665045976,0.769,0.1,0.252,1423495807000000000
1423459330908571951,245,1423459330895747900,0.791,0.1,0.255,1423495807200000047
1423459331172344368,246,1423459331127458095,0.779,0.101,0.254,1423495807500000000
1423459331385985235,247,1423459331356273889,0.798,0.098,0.253,1423495807700000047
1423459331599781039,248,1423459331585056066,0.792,0.103,0.252,1423495807900000095
1423459331863484987,249,1423459331814774036,0.819,0.103,0.254,1423495808099999904
1423459332077134982,250,1423459332045511960,0.81,0.101,0.248,1423495808400000095
1423459332340753202,251,1423459332312258005,0.827,0.101,0.255,1423495808599999904
1423459332554557547,252,1423459332527038097,0.819,0.102,0.247,1423495808900000095
1423459333018595808,253,1423459333005462884,0.841,0.103,0.248,1423495809299999952
1423459333783016126,254,1423459333733632087,0.864,0.113,0.257,1423495810099999904
1423459333996727507,255,1423459333965475082,0.883,0.106,0.254,1423495810299999952
1423459334460783024,256,1423459334437974929,0.901,0.111,0.257,1423495810799999952
1423459334674529922,257,1423459334667737960,0.892,0.115,0.255,1423495811000000000
1423459334938288662,258,1423459334895502090,0.91,0.108,0.254,1423495811200000047
1423459335151910536,259,1423459335128252983,0.905,0.117,0.254,1423495811500000000
1423459335365613712,260,1423459335357048988,0.93,0.114,0.254,1423495811700000047
1423459335629270544,261,1423459335585769891,0.922,0.115,0.25,1423495811900000095
1423459335842908756,262,1423459335816510915,0.938,0.111,0.256,1423495812099999904
1423459336056523012,263,1423459336045295953,0.934,0.118,0.246,1423495812400000095
1423459336570640899,264,1423459336527844905,0.949,0.121,0.254,1423495812900000095
1423459336784211344,265,1423459336755518913,0.968,0.122,0.257,1423495813099999904
1423459336997926940,266,1423459336986268997,0.969,0.119,0.252,1423495813299999952
1423459337461988102,267,1423459337446770906,0.982,0.119,0.248,1423495813799999952
1423459337725727664,268,1423459337676561117,0.995,0.125,0.256,1423495814000000000
1423459338089591004,269,1423459338046107053,1.012,0.12,0.257,1423495814400000095
1423459338353219818,270,1423459338344765901,1.007,0.121,0.246,1423495814700000047
1423459338767115748,271,1423459338753334045,1.021,0.129,0.25,1423495815099999904
1423459339030828514,272,1423459339006066083,1.037,0.129,0.256,1423495815299999952
1423459339244498802,273,1423459339236825942,1.043,0.125,0.251,1423495815599999904
1423459339708562603,274,1423459339695355892,1.069,0.127,0.259,1423495816000000000
1423459339972122627,275,1423459339929011106,1.059,0.134,0.255,1423495816299999952
1423459340185730706,276,1423459340166723012,1.079,0.132,0.253,1423495816500000000
1423459340399365341,277,1423459340396538019,1.072,0.136,0.256,1423495816700000047
1423459340863350812,278,1423459340857131004,1.088,0.133,0.248,1423495817200000047
1423459341127061590,279,1423459341084954977,1.103,0.131,0.254,1423495817400000095
1423459341591053092,280,1423459341549398899,1.123,0.134,0.256,1423495817900000095
1423459341804677989,281,1423459341786076068,1.119,0.139,0.256,1423495818099999904
1423459342268676746,282,1423459342245732069,1.131,0.143,0.248,1423495818599999904
1423459342482309696,283,1423459342471407890,1.143,0.148,0.257,1423495818799999952
1423459342746065941,284,1423459342734241008,1.153,0.137,0.251,1423495819099999904
1423459343009770286,285,1423459342976914882,1.158,0.145,0.26,1423495819299999952
1423459343223390714,286,1423459343206614971,1.169,0.145,0.255,1423495819500000000
1423459343487127902,287,1423459343437395095,1.17,0.146,0.258,1423495819799999952
1423459343700755145,288,1423459343668201923,1.188,0.143,0.253,1423495820000000000
1423459343914339759,289,1423459343905916929,1.18,0.147,0.253,1423495820200000047
1423459344428378512,290,1423459344386409997,1.199,0.145,0.25,1423495820700000047
1423459344642419188,291,1423459344627264022,1.215,0.149,0.253,1423495821000000000
1423459344906111590,292,1423459344867918014,1.208,0.148,0.249,1423495821200000047
1423459345370043037,293,1423459345347423076,1.229,0.145,0.248,1423495821700000047
1423459346284516126,294,1423459346275352001,1.261,0.15,0.251,1423495822599999904
1423459346548120273,295,1423459346506091117,1.27,0.156,0.253,1423495822799999952
1423459346761819053,296,1423459346754913091,1.264,0.155,0.248,1423495823099999904
1423459347025635066,297,1423459346986664056,1.284,0.157,0.258,1423495823299999952
1423459347239488027,298,1423459347216408967,1.295,0.151,0.255,1423495823500000000
1423459347453203503,299,1423459347447134017,1.299,0.16,0.256,1423495823799999952
1423459347716983727,300,1423459347676943063,1.316,0.153,0.259,1423495824000000000
1423459347930737621,301,1423459347920695066,1.307,0.161,0.255,1423495824200000047
1423459348194465569,302,1423459348148453950,1.325,0.159,0.253,1423495824500000000
1423459348408112538,303,1423459348377157926,1.32,0.163,0.255,1423495824700000047
1423459348872098732,304,1423459348837694883,1.34,0.159,0.246,1423495825200000047
1423459349085665469,305,1423459349066467046,1.355,0.163,0.255,1423495825400000095
1423459349349346802,306,1423459349301162958,1.352,0.166,0.251,1423495825599999904
1423459349763371270,307,1423459349755722045,1.371,0.159,0.246,1423495826099999904
1423459350027139150,308,1423459349997435092,1.384,0.165,0.255,1423495826299999952
1423459350240781069,309,1423459350226253986,1.384,0.163,0.253,1423495826599999904
1423459350704865641,310,1423459350698729991,1.406,0.158,0.253,1423495827000000000
1423459350968578911,311,1423459350930476903,1.41,0.168,0.258,1423495827299999952
1423459351182157042,312,1423459351160203933,1.429,0.159,0.258,1423495827500000000
1423459351395770376,313,1423459351386876106,1.426,0.166,0.257,1423495827700000047
1423459351659547445,314,1423459351616712093,1.437,0.168,0.251,1423495827900000095
1423459351873315607,315,1423459351846404075,1.434,0.171,0.255,1423495828200000047
1423459352087196275,316,1423459352076169013,1.457,0.163,0.258,1423495828400000095
1423459352350890480,317,1423459352328826904,1.452,0.17,0.252,1423495828599999904
1423459352564593830,318,1423459352539716005,1.468,0.172,0.254,1423495828900000095
1423459352778247921,319,1423459352766470909,1.459,0.174,0.248,1423495829099999904
1423459353242331731,320,1423459353227998018,1.483,0.17,0.244,1423495829599999904
1423459353506098291,321,1423459353466686964,1.486,0.175,0.248,1423495829799999952
1423459353719725359,322,1423459353694550991,1.489,0.174,0.248,1423495830000000000
1423459354183663110,323,1423459354157083034,1.513,0.172,0.248,1423495830500000000
1423459354397472946,324,1423459354396739959,1.522,0.176,0.254,1423495830700000047
1423459354661394346,325,1423459354633521080,1.522,0.177,0.252,1423495831000000000
1423459354875146348,326,1423459354860285997,1.534,0.18,0.257,1423495831200000047
1423459355339069316,327,1423459355318795919,1.549,0.183,0.259,1423495831599999904
1423459355552714808,328,1423459355548609018,1.567,0.173,0.26,1423495831900000095
1423459356016876528,329,1423459356008063077,1.575,0.176,0.256,1423495832299999952
1423459356280595582,330,1423459356235807895,1.583,0.184,0.258,1423495832599999904
1423459356494326155,331,1423459356466626882,1.595,0.178,0.259,1423495832799999952
1423459356758068729,332,1423459356722265005,1.588,0.187,0.253,1423495833000000000
1423459356971647985,333,1423459356928127050,1.604,0.184,0.254,1423495833299999952
1423459357185298677,334,1423459357155872106,1.599,0.19,0.251,1423495833500000000
1423459357398893881,335,1423459357387608051,1.623,0.183,0.257,1423495833700000047
1423459357662689258,336,1423459357616427898,1.619,0.188,0.25,1423495833900000095
1423459357876425372,337,1423459357846168041,1.635,0.192,0.255,1423495834200000047
1423459358590838744,338,1423459358555423974,1.648,0.192,0.251,1423495834900000095
1423459358804463829,339,1423459358788203001,1.662,0.198,0.254,1423495835099999904
1423459359018055588,340,1423459359016927003,1.666,0.194,0.255,1423495835299999952
1423459359532123014,341,1423459359486491918,1.678,0.191,0.251,1423495835799999952
1423459359745917889,342,1423459359722177028,1.691,0.2,0.261,1423495836000000000
1423459359959640885,343,1423459359953998088,1.7,0.192,0.26,1423495836299999952
1423459360223569826,344,1423459360175719022,1.699,0.201,0.257,1423495836500000000
1423459360437279782,345,1423459360416476964,1.717,0.196,0.254,1423495836700000047
1423459360701110018,346,1423459360657202959,1.713,0.2,0.253,1423495837000000000
1423459360914799289,347,1423459360894965887,1.734,0.196,0.255,1423495837200000047
1423459361178639911,348,1423459361139620065,1.728,0.198,0.249,1423495837500000000
1423459361392375191,349,1423459361377424955,1.742,0.199,0.254,1423495837700000047
1423459361656226694,350,1423459361621119976,1.741,0.205,0.249,1423495837900000095
1423459362120218962,351,1423459362075683116,1.757,0.196,0.245,1423495838400000095
1423459362333822929,352,1423459362306435108,1.771,0.202,0.257,1423495838599999904
1423459362697762679,353,1423459362692060947,1.772,0.202,0.251,1423495839000000000
1423459362961353584,354,1423459362918808937,1.782,0.199,0.249,1423495839200000047
1423459363174993180,355,1423459363149552106,1.798,0.202,0.254,1423495839500000000
1423459363388600731,356,1423459363376394033,1.794,0.207,0.248,1423495839700000047
1423459363852966521,357,1423459363846896886,1.811,0.2,0.245,1423495840200000047
1423459364116643167,358,1423459364076621055,1.825,0.206,0.252,1423495840400000095
1423459364330449781,359,1423459364306395053,1.822,0.208,0.246,1423495840599999904
1423459364794507093,360,1423459364767901897,1.841,0.203,0.249,1423495841099999904
1423459365008153324,361,1423459364996638059,1.855,0.212,0.26,1423495841299999952
1423459365271819666,362,1423459365245347976,1.865,0.207,0.259,1423495841599999904
1423459365535652701,363,1423459365486146926,1.865,0.212,0.257,1423495841799999952
1423459365749323205,364,1423459365721848011,1.876,0.211,0.248,1423495842000000000
1423459365962985869,365,1423459365948645114,1.878,0.212,0.257,1423495842299999952
1423459366426865970,366,1423459366426110029,1.891,0.215,0.257,1423495842799999952
1423459366690625785,367,1423459366667920112,1.907,0.211,0.254,1423495843000000000
1423459366954224644,368,1423459366909626960,1.901,0.216,0.245,1423495843200000047
1423459367167783711,369,1423459367148375034,1.919,0.213,0.256,1423495843500000000
1423459367431503219,370,1423459367386106967,1.924,0.212,0.246,1423495843700000047
1423459367645214757,371,1423459367626840114,1.937,0.219,0.261,1423495844000000000
1423459367908961480,372,1423459367867571115,1.944,0.217,0.256,1423495844200000047
1423459368122621015,373,1423459368107312917,1.946,0.224,0.257,1423495844400000095
