%time,field.header.seq,field.header.stamp,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1423459292441399505,1,1423459292403201103,0.302,0.039,0.25,0.0,0.0,0.0,1.0
1423459292654998028,2,1423459292633949041,0.302,0.039,0.25,0.0,0.0,0.0,1.0
1423459292868537227,3,1423459292865796089,0.302,0.04,0.25,0.0,0.0,0.0,1.0
1423459293132271675,4,1423459293093580007,0.302,0.04,0.25,0.0,0.0,0.0,1.0
1423459293345927779,5,1423459293326256036,0.302,0.039,0.25,0.0,0.0,0.0,1.0
1423459293559614119,6,1423459293555082082,0.302,0.039,0.25,0.0,0.0,0.0,1.0
1423459293823247366,7,1423459293784799098,0.302,0.039,0.25,0.0,0.0,0.0,1.0
1423459294036862969,8,1423459294014662027,0.302,0.039,0.25,0.0,0.0,0.0,1.0
1423459294250450363,9,1423459294244326114,0.302,0.04,0.25,0.0,0.0,0.0,1.0
1423459294514140843,10,1423459294484049081,0.302,0.039,0.25,0.0,0.0,0.0,1.0
1423459294777853256,11,1423459294731822013,0.302,0.04,0.25,0.0,0.0,0.0,1.0
1423459294991501779,12,1423459294964553117,0.302,0.04,0.25,0.0,0.0,0.0,1.0
1423459295205066434,13,1423459295195245981,0.312,0.034,0.246,0.0,0.0,0.0,1.0
1423459295669064212,14,1423459295663795948,0.32,0.038,0.25,0.0,0.0,0.0,1.0
1423459295932769640,15,1423459295903482913,0.313,0.035,0.243,0.0,0.0,0.0,1.0
1423459296196434358,16,1423459296157150030,0.321,0.04,0.253,0.0,0.0,0.0,1.0
1423459296860587469,17,1423459296854435920,0.326,0.035,0.245,0.0,0.0,0.0,1.0
1423459297124371726,18,1423459297094218015,0.333,0.042,0.257,0.0,0.0,0.0,1.0
1423459297338101896,19,1423459297336903095,0.337,0.042,0.25,0.0,0.0,0.0,1.0
1423459297601779459,20,1423459297573771953,0.338,0.04,0.256,0.0,0.0,0.0,1.0
1423459297815433450,21,1423459297804498910,0.349,0.036,0.25,0.0,0.0,0.0,1.0
1423459298079267163,22,1423459298034257888,0.343,0.037,0.259,0.0,0.0,0.0,1.0
1423459298292937361,23,1423459298266072988,0.349,0.041,0.249,0.0,0.0,0.0,1.0
1423459298506671756,24,1423459298493834018,0.352,0.035,0.254,0.0,0.0,0.0,1.0
1423459298770450103,25,1423459298733525037,0.362,0.032,0.254,0.0,0.0,0.0,1.0
1423459299234455385,26,1423459299215051889,0.364,0.042,0.251,0.0,0.0,0.0,1.0
1423459299448047070,27,1423459299444828987,0.365,0.03,0.247,0.0,0.0,0.0,1.0
1423459299912067429,28,1423459299904366016,0.369,0.039,0.245,0.0,0.0,0.0,1.0
1423459300376035477,29,1423459300375772953,0.377,0.029,0.244,0.0,0.0,0.0,1.0
1423459300840009310,30,1423459300834270000,0.381,0.039,0.246,0.0,0.0,0.0,1.0
1423459301103717064,31,1423459301066014051,0.392,0.038,0.257,0.0,0.0,0.0,1.0
1423459301317359381,32,1423459301293842077,0.393,0.031,0.251,0.0,0.0,0.0,1.0
1423459301580984688,33,1423459301543513059,0.398,0.038,0.257,0.0,0.0,0.0,1.0
1423459301794647433,34,1423459301774277925,0.402,0.038,0.251,0.0,0.0,0.0,1.0
1423459302058356493,35,1423459302016027927,0.402,0.035,0.252,0.0,0.0,0.0,1.0
1423459302271981512,36,1423459302256777048,0.41,0.036,0.251,0.0,0.0,0.0,1.0
1423459302485654674,37,1423459302475564956,0.407,0.035,0.251,0.0,0.0,0.0,1.0
1423459302749262017,38,1423459302728370904,0.415,0.04,0.25,0.0,0.0,0.0,1.0
1423459303063074282,39,1423459303021066904,0.412,0.033,0.241,0.0,0.0,0.0,1.0
1423459303627106342,40,1423459303625416040,0.426,0.044,0.252,0.0,0.0,0.0,1.0
1423459303890824671,41,1423459303854198932,0.424,0.036,0.243,0.0,0.0,0.0,1.0
1423459304354774791,42,1423459304316687107,0.429,0.043,0.246,0.0,0.0,0.0,1.0
1423459304818760115,43,1423459304784216880,0.432,0.038,0.248,0.0,0.0,0.0,1.0
1423459305032353999,44,1423459305025002956,0.444,0.046,0.258,0.0,0.0,0.0,1.0
1423459305296002225,45,1423459305265678882,0.443,0.045,0.252,0.0,0.0,0.0,1.0
1423459305509613334,46,1423459305504508018,0.437,0.045,0.255,0.0,0.0,0.0,1.0
1423459305773497087,47,1423459305749192953,0.443,0.041,0.252,0.0,0.0,0.0,1.0
1423459305987150834,48,1423459305984929084,0.445,0.043,0.251,0.0,0.0,0.0,1.0
1423459306250948677,49,1423459306228667974,0.458,0.046,0.251,0.0,0.0,0.0,1.0
1423459306514682509,50,1423459306465434074,0.448,0.039,0.244,0.0,0.0,0.0,1.0
1423459306778396362,51,1423459306737147092,0.455,0.041,0.254,0.0,0.0,0.0,1.0
1423459306941954319,52,1423459306940974950,0.456,0.051,0.253,0.0,0.0,0.0,1.0
1423459307405933065,53,1423459307394453048,0.463,0.043,0.245,0.0,0.0,0.0,1.0
1423459307920001810,54,1423459307886993885,0.472,0.051,0.249,0.0,0.0,0.0,1.0
1423459308133740902,55,1423459308127712011,0.476,0.051,0.253,0.0,0.0,0.0,1.0
1423459308397489411,56,1423459308355456113,0.474,0.043,0.243,0.0,0.0,0.0,1.0
1423459309312140339,57,1423459309283417940,0.489,0.049,0.25,0.0,0.0,0.0,1.0
1423459309575854542,58,1423459309528140068,0.492,0.053,0.253,0.0,0.0,0.0,1.0
1423459309989697975,59,1423459309984617948,0.496,0.051,0.25,0.0,0.0,0.0,1.0
1423459310253401270,60,1423459310225404977,0.505,0.05,0.251,0.0,0.0,0.0,1.0
1423459310467087876,61,1423459310465233087,0.5,0.052,0.245,0.0,0.0,0.0,1.0
1423459310981152341,62,1423459310967622041,0.511,0.052,0.25,0.0,0.0,0.0,1.0
1423459311445203455,63,1423459311424206972,0.516,0.057,0.247,0.0,0.0,0.0,1.0
1423459311658910365,64,1423459311655945062,0.524,0.057,0.253,0.0,0.0,0.0,1.0
1423459311922548873,65,1423459311886699914,0.522,0.052,0.243,0.0,0.0,0.0,1.0
1423459312136318684,66,1423459312120538949,0.529,0.059,0.258,0.0,0.0,0.0,1.0
1423459312350068392,67,1423459312347251892,0.533,0.06,0.251,0.0,0.0,0.0,1.0
1423459312613807774,68,1423459312575016975,0.534,0.06,0.255,0.0,0.0,0.0,1.0
1423459312827442392,69,1423459312814769029,0.534,0.056,0.247,0.0,0.0,0.0,1.0
1423459313091137913,70,1423459313046463966,0.538,0.06,0.253,0.0,0.0,0.0,1.0
1423459313404892582,71,1423459313357223033,0.546,0.061,0.251,0.0,0.0,0.0,1.0
1423459313618613498,72,1423459313594928026,0.543,0.056,0.247,0.0,0.0,0.0,1.0
1423459314333016623,73,1423459314294109106,0.553,0.064,0.256,0.0,0.0,0.0,1.0
1423459314546686290,74,1423459314537905931,0.558,0.06,0.25,0.0,0.0,0.0,1.0
1423459314810395209,75,1423459314776606082,0.56,0.062,0.255,0.0,0.0,0.0,1.0
1423459315024048053,76,1423459315015438079,0.56,0.064,0.246,0.0,0.0,0.0,1.0
1423459315287809953,77,1423459315244250059,0.563,0.063,0.25,0.0,0.0,0.0,1.0
1423459315501474174,78,1423459315474988937,0.57,0.06,0.251,0.0,0.0,0.0,1.0
1423459315965461129,79,1423459315935605049,0.58,0.065,0.251,0.0,0.0,0.0,1.0
1423459316179094780,80,1423459316176275014,0.575,0.06,0.243,0.0,0.0,0.0,1.0
1423459316693229753,81,1423459316644893884,0.581,0.063,0.246,0.0,0.0,0.0,1.0
1423459317107194009,82,1423459317104371070,0.586,0.062,0.244,0.0,0.0,0.0,1.0
1423459317370994716,83,1423459317338125944,0.595,0.067,0.255,0.0,0.0,0.0,1.0
1423459317584637220,84,1423459317574896097,0.593,0.068,0.249,0.0,0.0,0.0,1.0
1423459317848347201,85,1423459317814666986,0.598,0.069,0.257,0.0,0.0,0.0,1.0
1423459318062021233,86,1423459318045358896,0.599,0.068,0.252,0.0,0.0,0.0,1.0
1423459318526006678,87,1423459318504925966,0.605,0.071,0.25,0.0,0.0,0.0,1.0
1423459318789749821,88,1423459318754648923,0.605,0.072,0.256,0.0,0.0,0.0,1.0
1423459319003427834,89,1423459318984357118,0.611,0.068,0.25,0.0,0.0,0.0,1.0
1423459319217076009,90,1423459319216109037,0.613,0.07,0.256,0.0,0.0,0.0,1.0
1423459319480800059,91,1423459319444920063,0.612,0.068,0.247,0.0,0.0,0.0,1.0
1423459319694439476,92,1423459319674690961,0.617,0.072,0.254,0.0,0.0,0.0,1.0
1423459319908085954,93,1423459319902455091,0.624,0.069,0.252,0.0,0.0,0.0,1.0
1423459320171988448,94,1423459320137192010,0.622,0.071,0.249,0.0,0.0,0.0,1.0
1423459320385662605,95,1423459320366920948,0.632,0.072,0.252,0.0,0.0,0.0,1.0
1423459320599364540,96,1423459320595668077,0.631,0.071,0.25,0.0,0.0,0.0,1.0
1423459321514010481,97,1423459321513676881,0.641,0.07,0.245,0.0,0.0,0.0,1.0
1423459322028103879,98,1423459321985184907,0.646,0.079,0.252,0.0,0.0,0.0,1.0
1423459322241782952,99,1423459322214869022,0.652,0.077,0.255,0.0,0.0,0.0,1.0
1423459322455445073,100,1423459322445729970,0.65,0.07,0.245,0.0,0.0,0.0,1.0
1423459322719202874,101,1423459322675548076,0.66,0.077,0.257,0.0,0.0,0.0,1.0
1423459322932866183,102,1423459322904208898,0.657,0.075,0.251,0.0,0.0,0.0,1.0
1423459323146528769,103,1423459323136934995,0.661,0.078,0.257,0.0,0.0,0.0,1.0
1423459323410215908,104,1423459323365647077,0.663,0.076,0.254,0.0,0.0,0.0,1.0
1423459323874217072,105,1423459323835187911,0.673,0.08,0.251,0.0,0.0,0.0,1.0
1423459324087880173,106,1423459324074932098,0.671,0.082,0.254,0.0,0.0,0.0,1.0
1423459324351551490,107,1423459324315695047,0.679,0.078,0.251,0.0,0.0,0.0,1.0
1423459324565208899,108,1423459324557394981,0.681,0.082,0.259,0.0,0.0,0.0,1.0
1423459324828888039,109,1423459324795172929,0.686,0.081,0.252,0.0,0.0,0.0,1.0
1423459325042514197,110,1423459325024957895,0.682,0.076,0.243,0.0,0.0,0.0,1.0
1423459325506525875,111,1423459325505445003,0.685,0.081,0.245,0.0,0.0,0.0,1.0
1423459325770287997,112,1423459325743172883,0.693,0.084,0.253,0.0,0.0,0.0,1.0
1423459325983980098,113,1423459325964977979,0.692,0.078,0.249,0.0,0.0,0.0,1.0
1423459326247738952,114,1423459326206687927,0.699,0.086,0.26,0.0,0.0,0.0,1.0
1423459326461617430,115,1423459326435492038,0.699,0.084,0.251,0.0,0.0,0.0,1.0
1423459326675238357,116,1423459326670231103,0.703,0.089,0.255,0.0,0.0,0.0,1.0
1423459326939053453,117,1423459326903980016,0.703,0.082,0.249,0.0,0.0,0.0,1.0
1423459327152854418,118,1423459327137691974,0.707,0.091,0.257,0.0,0.0,0.0,1.0
1423459327366497137,119,1423459327365438938,0.708,0.093,0.25,0.0,0.0,0.0,1.0
1423459327630268476,120,1423459327605248928,0.71,0.092,0.253,0.0,0.0,0.0,1.0
1423459327843848018,121,1423459327835058927,0.713,0.09,0.248,0.0,0.0,0.0,1.0
1423459328107615885,122,1423459328069767951,0.71,0.093,0.25,0.0,0.0,0.0,1.0
1423459328321295167,123,1423459328295548915,0.719,0.097,0.251,0.0,0.0,0.0,1.0
1423459328534929934,124,1423459328527316093,0.713,0.091,0.249,0.0,0.0,0.0,1.0
1423459328798681953,125,1423459328756079912,0.72,0.094,0.252,0.0,0.0,0.0,1.0
1423459329012430126,126,1423459329004790067,0.717,0.098,0.244,0.0,0.0,0.0,1.0
1423459329276240296,127,1423459329234568119,0.726,0.1,0.252,0.0,0.0,0.0,1.0
1423459329489897843,128,1423459329476272106,0.728,0.093,0.248,0.0,0.0,0.0,1.0
1423459330003902985,129,1423459329954685926,0.754,0.095,0.256,0.0,0.0,0.0,1.0
1423459330217544507,130,1423459330194478988,0.751,0.1,0.257,0.0,0.0,0.0,1.0
1423459330481214756,131,1423459330436223983,0.769,0.096,0.252,0.0,0.0,0.0,1.0
1423459330694829151,132,1423459330665045976,0.769,0.1,0.252,0.0,0.0,0.0,1.0
1423459330908625463,133,1423459330895747900,0.791,0.1,0.255,0.0,0.0,0.0,1.0
1423459331172249701,134,1423459331127458095,0.779,0.101,0.254,0.0,0.0,0.0,1.0
1423459331385934916,135,1423459331356273889,0.798,0.098,0.253,0.0,0.0,0.0,1.0
1423459331599742063,136,1423459331585056066,0.792,0.103,0.252,0.0,0.0,0.0,1.0
1423459331863553753,137,1423459331814774036,0.819,0.103,0.254,0.0,0.0,0.0,1.0
1423459332077204963,138,1423459332045511960,0.81,0.101,0.248,0.0,0.0,0.0,1.0
1423459332340862162,139,1423459332312258005,0.827,0.101,0.255,0.0,0.0,0.0,1.0
1423459332554546513,140,1423459332527038097,0.819,0.102,0.247,0.0,0.0,0.0,1.0
1423459333018582559,141,1423459333005462884,0.841,0.103,0.248,0.0,0.0,0.0,1.0
1423459333783029684,142,1423459333733632087,0.864,0.113,0.257,0.0,0.0,0.0,1.0
1423459333996782758,143,1423459333965475082,0.883,0.106,0.254,0.0,0.0,0.0,1.0
1423459334460903447,144,1423459334437974929,0.901,0.111,0.257,0.0,0.0,0.0,1.0
1423459334674470119,145,1423459334667737960,0.892,0.115,0.255,0.0,0.0,0.0,1.0
1423459334938158940,146,1423459334895502090,0.91,0.108,0.254,0.0,0.0,0.0,1.0
1423459335151791406,147,1423459335128252983,0.905,0.117,0.254,0.0,0.0,0.0,1.0
1423459335365468045,148,1423459335357048988,0.93,0.114,0.254,0.0,0.0,0.0,1.0
1423459335629162608,149,1423459335585769891,0.922,0.115,0.25,0.0,0.0,0.0,1.0
1423459335842789673,150,1423459335816510915,0.938,0.111,0.256,0.0,0.0,0.0,1.0
1423459336056451507,151,1423459336045295953,0.934,0.118,0.246,0.0,0.0,0.0,1.0
1423459336570516118,152,1423459336527844905,0.949,0.121,0.254,0.0,0.0,0.0,1.0
1423459336784165337,153,1423459336755518913,0.968,0.122,0.257,0.0,0.0,0.0,1.0
1423459336997913315,154,1423459336986268997,0.969,0.119,0.252,0.0,0.0,0.0,1.0
1423459337461872687,155,1423459337446770906,0.982,0.119,0.248,0.0,0.0,0.0,1.0
1423459337725601180,156,1423459337676561117,0.995,0.125,0.256,0.0,0.0,0.0,1.0
1423459338089403535,157,1423459338046107053,1.012,0.12,0.257,0.0,0.0,0.0,1.0
1423459338353122331,158,1423459338344765901,1.007,0.121,0.246,0.0,0.0,0.0,1.0
1423459338766957469,159,1423459338753334045,1.021,0.129,0.25,0.0,0.0,0.0,1.0
1423459339030603303,160,1423459339006066083,1.037,0.129,0.256,0.0,0.0,0.0,1.0
1423459339244189987,161,1423459339236825942,1.043,0.125,0.251,0.0,0.0,0.0,1.0
1423459339708227224,162,1423459339695355892,1.069,0.127,0.259,0.0,0.0,0.0,1.0
1423459339971859552,163,1423459339929011106,1.059,0.134,0.255,0.0,0.0,0.0,1.0
1423459340185467809,164,1423459340166723012,1.079,0.132,0.253,0.0,0.0,0.0,1.0
1423459340399152198,165,1423459340396538019,1.072,0.136,0.256,0.0,0.0,0.0,1.0
1423459340863222736,166,1423459340857131004,1.088,0.133,0.248,0.0,0.0,0.0,1.0
1423459341126878032,167,1423459341084954977,1.103,0.131,0.254,0.0,0.0,0.0,1.0
1423459341590845272,168,1423459341549398899,1.123,0.134,0.256,0.0,0.0,0.0,1.0
1423459341804493846,169,1423459341786076068,1.119,0.139,0.256,0.0,0.0,0.0,1.0
1423459342268428105,170,1423459342245732069,1.131,0.143,0.248,0.0,0.0,0.0,1.0
1423459342482048873,171,1423459342471407890,1.143,0.148,0.257,0.0,0.0,0.0,1.0
1423459342745727259,172,1423459342734241008,1.153,0.137,0.251,0.0,0.0,0.0,1.0
1423459343009401706,173,1423459342976914882,1.158,0.145,0.26,0.0,0.0,0.0,1.0
1423459343223062574,174,1423459343206614971,1.169,0.145,0.255,0.0,0.0,0.0,1.0
1423459343486784636,175,1423459343437395095,1.17,0.146,0.258,0.0,0.0,0.0,1.0
1423459343700374372,176,1423459343668201923,1.188,0.143,0.253,0.0,0.0,0.0,1.0
1423459343914221879,177,1423459343905916929,1.18,0.147,0.253,0.0,0.0,0.0,1.0
1423459344428265839,178,1423459344386409997,1.199,0.145,0.25,0.0,0.0,0.0,1.0
1423459344641917743,179,1423459344627264022,1.215,0.149,0.253,0.0,0.0,0.0,1.0
1423459344905609463,180,1423459344867918014,1.208,0.148,0.249,0.0,0.0,0.0,1.0
1423459345369556247,181,1423459345347423076,1.229,0.145,0.248,0.0,0.0,0.0,1.0
1423459346284170400,182,1423459346275352001,1.261,0.15,0.251,0.0,0.0,0.0,1.0
1423459346547962771,183,1423459346506091117,1.27,0.156,0.253,0.0,0.0,0.0,1.0
1423459346761660782,184,1423459346754913091,1.264,0.155,0.248,0.0,0.0,0.0,1.0
1423459347025439834,185,1423459346986664056,1.284,0.157,0.258,0.0,0.0,0.0,1.0
1423459347239202891,186,1423459347216408967,1.295,0.151,0.255,0.0,0.0,0.0,1.0
1423459347452834846,187,1423459347447134017,1.299,0.16,0.256,0.0,0.0,0.0,1.0
1423459347716547243,188,1423459347676943063,1.316,0.153,0.259,0.0,0.0,0.0,1.0
1423459347930193755,189,1423459347920695066,1.307,0.161,0.255,0.0,0.0,0.0,1.0
1423459348193901320,190,1423459348148453950,1.325,0.159,0.253,0.0,0.0,0.0,1.0
1423459348407590363,191,1423459348377157926,1.32,0.163,0.255,0.0,0.0,0.0,1.0
1423459348871582296,192,1423459348837694883,1.34,0.159,0.246,0.0,0.0,0.0,1.0
1423459349085217246,193,1423459349066467046,1.355,0.163,0.255,0.0,0.0,0.0,1.0
1423459349348964597,194,1423459349301162958,1.352,0.166,0.251,0.0,0.0,0.0,1.0
1423459349762902254,195,1423459349755722045,1.371,0.159,0.246,0.0,0.0,0.0,1.0
1423459350026597915,196,1423459349997435092,1.384,0.165,0.255,0.0,0.0,0.0,1.0
1423459350240244654,197,1423459350226253986,1.384,0.163,0.253,0.0,0.0,0.0,1.0
1423459350704270050,198,1423459350698729991,1.406,0.158,0.253,0.0,0.0,0.0,1.0
1423459350968078872,199,1423459350930476903,1.41,0.168,0.258,0.0,0.0,0.0,1.0
1423459351181868243,200,1423459351160203933,1.429,0.159,0.258,0.0,0.0,0.0,1.0
1423459351395538789,201,1423459351386876106,1.426,0.166,0.257,0.0,0.0,0.0,1.0
1423459351659355437,202,1423459351616712093,1.437,0.168,0.251,0.0,0.0,0.0,1.0
1423459351873298199,203,1423459351846404075,1.434,0.171,0.255,0.0,0.0,0.0,1.0
1423459352087049865,204,1423459352076169013,1.457,0.163,0.258,0.0,0.0,0.0,1.0
1423459352350782708,205,1423459352328826904,1.452,0.17,0.252,0.0,0.0,0.0,1.0
1423459352564436917,206,1423459352539716005,1.468,0.172,0.254,0.0,0.0,0.0,1.0
1423459352778084321,207,1423459352766470909,1.459,0.174,0.248,0.0,0.0,0.0,1.0
1423459353242078587,208,1423459353227998018,1.483,0.17,0.244,0.0,0.0,0.0,1.0
1423459353505817787,209,1423459353466686964,1.486,0.175,0.248,0.0,0.0,0.0,1.0
1423459353719502513,210,1423459353694550991,1.489,0.174,0.248,0.0,0.0,0.0,1.0
1423459354183476585,211,1423459354157083034,1.513,0.172,0.248,0.0,0.0,0.0,1.0
1423459354397349588,212,1423459354396739959,1.522,0.176,0.254,0.0,0.0,0.0,1.0
1423459354661386230,213,1423459354633521080,1.522,0.177,0.252,0.0,0.0,0.0,1.0
1423459354875010571,214,1423459354860285997,1.534,0.18,0.257,0.0,0.0,0.0,1.0
1423459355339009135,215,1423459355318795919,1.549,0.183,0.259,0.0,0.0,0.0,1.0
1423459355552617393,216,1423459355548609018,1.567,0.173,0.26,0.0,0.0,0.0,1.0
1423459356016561508,217,1423459356008063077,1.575,0.176,0.256,0.0,0.0,0.0,1.0
1423459356280385679,218,1423459356235807895,1.583,0.184,0.258,0.0,0.0,0.0,1.0
1423459356494090836,219,1423459356466626882,1.595,0.178,0.259,0.0,0.0,0.0,1.0
1423459356757807583,220,1423459356722265005,1.588,0.187,0.253,0.0,0.0,0.0,1.0
1423459356971521350,221,1423459356928127050,1.604,0.184,0.254,0.0,0.0,0.0,1.0
1423459357185192168,222,1423459357155872106,1.599,0.19,0.251,0.0,0.0,0.0,1.0
1423459357398858839,223,1423459357387608051,1.623,0.183,0.257,0.0,0.0,0.0,1.0
1423459357662604757,224,1423459357616427898,1.619,0.188,0.25,0.0,0.0,0.0,1.0
1423459357876273297,225,1423459357846168041,1.635,0.192,0.255,0.0,0.0,0.0,1.0
1423459358590565494,226,1423459358555423974,1.648,0.192,0.251,0.0,0.0,0.0,1.0
1423459358804218290,227,1423459358788203001,1.662,0.198,0.254,0.0,0.0,0.0,1.0
1423459359017869243,228,1423459359016927003,1.666,0.194,0.255,0.0,0.0,0.0,1.0
1423459359531966128,229,1423459359486491918,1.678,0.191,0.251,0.0,0.0,0.0,1.0
1423459359745724423,230,1423459359722177028,1.691,0.2,0.261,0.0,0.0,0.0,1.0
1423459359959584337,231,1423459359953998088,1.7,0.192,0.26,0.0,0.0,0.0,1.0
1423459360223430527,232,1423459360175719022,1.699,0.201,0.257,0.0,0.0,0.0,1.0
1423459360437117515,233,1423459360416476964,1.717,0.196,0.254,0.0,0.0,0.0,1.0
1423459360700936942,234,1423459360657202959,1.713,0.2,0.253,0.0,0.0,0.0,1.0
1423459360914678777,235,1423459360894965887,1.734,0.196,0.255,0.0,0.0,0.0,1.0
1423459361178498290,236,1423459361139620065,1.728,0.198,0.249,0.0,0.0,0.0,1.0
1423459361392374386,237,1423459361377424955,1.742,0.199,0.254,0.0,0.0,0.0,1.0
1423459361656279952,238,1423459361621119976,1.741,0.205,0.249,0.0,0.0,0.0,1.0
1423459362120228639,239,1423459362075683116,1.757,0.196,0.245,0.0,0.0,0.0,1.0
1423459362333828970,240,1423459362306435108,1.771,0.202,0.257,0.0,0.0,0.0,1.0
1423459362697622962,241,1423459362692060947,1.772,0.202,0.251,0.0,0.0,0.0,1.0
1423459362961342627,242,1423459362918808937,1.782,0.199,0.249,0.0,0.0,0.0,1.0
1423459363174957320,243,1423459363149552106,1.798,0.202,0.254,0.0,0.0,0.0,1.0
1423459363388697875,244,1423459363376394033,1.794,0.207,0.248,0.0,0.0,0.0,1.0
1423459363852900741,245,1423459363846896886,1.811,0.2,0.245,0.0,0.0,0.0,1.0
1423459364116628450,246,1423459364076621055,1.825,0.206,0.252,0.0,0.0,0.0,1.0
1423459364330337966,247,1423459364306395053,1.822,0.208,0.246,0.0,0.0,0.0,1.0
