%time,field.header.seq,field.header.stamp,field.point.x,field.point.y,field.point.z,field.time_ref
1423458803741216845,1880,1423458803711302995,0.218,-0.024,0.255,1423495280000000000
1423458803954917867,1881,1423458803935076951,0.218,-0.024,0.255,1423495280299999952
1423458804168472402,1882,1423458804165772914,0.218,-0.024,0.255,1423495280500000000
1423458804432253012,1883,1423458804397604942,0.218,-0.024,0.255,1423495280700000047
1423458804645939590,1884,1423458804635329008,0.218,-0.024,0.255,1423495281000000000
1423458804909637187,1885,1423458804867183923,0.218,-0.024,0.255,1423495281200000047
1423458805123315145,1886,1423458805097877979,0.218,-0.024,0.255,1423495281400000095
1423458805336931971,1887,1423458805335669040,0.218,-0.024,0.255,1423495281700000047
1423458805600696886,1888,1423458805565463066,0.218,-0.024,0.255,1423495281900000095
1423458805814347476,1889,1423458805798218011,0.218,-0.024,0.255,1423495282099999904
1423458806027998913,1890,1423458806025023937,0.218,-0.024,0.255,1423495282400000095
1423458806291684531,1891,1423458806255770921,0.218,-0.024,0.255,1423495282599999904
1423458806505324604,1892,1423458806485507965,0.218,-0.024,0.255,1423495282799999952
1423458806769071693,1893,1423458806734286069,0.218,-0.024,0.255,1423495283099999904
1423458806982707146,1894,1423458806978050947,0.218,-0.024,0.255,1423495283299999952
1423458807246388954,1895,1423458807208755970,0.218,-0.024,0.255,1423495283500000000
1423458807460077379,1896,1423458807435539960,0.218,-0.024,0.255,1423495283799999952
1423458807673764220,1897,1423458807673293113,0.218,-0.024,0.255,1423495284000000000
1423458807937478663,1898,1423458807895046949,0.221,-0.023,0.255,1423495284200000047
1423458808151119310,1899,1423458808125737905,0.226,-0.025,0.254,1423495284500000000
1423458808364626246,1900,1423458808354568958,0.24,-0.019,0.251,1423495284700000047
1423458808628358504,1901,1423458808588284015,0.242,-0.024,0.253,1423495284900000095
1423458808842093799,1902,1423458808818053007,0.249,-0.028,0.252,1423495285200000047
1423458809105874212,1903,1423458809055763959,0.257,-0.033,0.252,1423495285400000095
1423458809319565658,1904,1423458809297475099,0.267,-0.03,0.251,1423495285599999904
1423458809583381781,1905,1423458809535239934,0.276,-0.03,0.251,1423495285900000095
1423458809797070839,1906,1423458809776006937,0.274,-0.03,0.248,1423495286099999904
1423458810060860216,1907,1423458810016793012,0.289,-0.029,0.25,1423495286400000095
1423458810274605935,1908,1423458810245587110,0.292,-0.031,0.249,1423495286599999904
1423458810488224377,1909,1423458810485356092,0.298,-0.031,0.249,1423495286799999952
1423458810751997522,1910,1423458810734075069,0.312,-0.034,0.25,1423495287099999904
1423458811015739839,1911,1423458810988760948,0.326,-0.03,0.248,1423495287299999952
1423458811229435248,1912,1423458811216545104,0.328,-0.031,0.249,1423495287599999904
1423458811493223852,1913,1423458811447321891,0.338,-0.03,0.249,1423495287799999952
1423458811706896005,1914,1423458811674984931,0.353,-0.036,0.248,1423495288000000000
