%time,field.header.seq,field.header.stamp,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1423458803715431992,437,1423458803711302995,0.218,-0.024,0.255,0.0,0.0,0.0,1.0
1423458803979131249,438,1423458803935076951,0.218,-0.024,0.255,0.0,0.0,0.0,1.0
1423458804192804461,439,1423458804165772914,0.218,-0.024,0.255,0.0,0.0,0.0,1.0
1423458804406409645,440,1423458804397604942,0.218,-0.024,0.255,0.0,0.0,0.0,1.0
1423458804670142525,441,1423458804635329008,0.218,-0.024,0.255,0.0,0.0,0.0,1.0
1423458804883799550,442,1423458804867183923,0.218,-0.024,0.255,0.0,0.0,0.0,1.0
1423458805147509113,443,1423458805097877979,0.218,-0.024,0.255,0.0,0.0,0.0,1.0
1423458805361205841,444,1423458805335669040,0.218,-0.024,0.255,0.0,0.0,0.0,1.0
1423458805574808109,445,1423458805565463066,0.218,-0.024,0.255,0.0,0.0,0.0,1.0
1423458805838571261,446,1423458805798218011,0.218,-0.024,0.255,0.0,0.0,0.0,1.0
1423458806052176372,447,1423458806025023937,0.218,-0.024,0.255,0.0,0.0,0.0,1.0
1423458806265817010,448,1423458806255770921,0.218,-0.024,0.255,0.0,0.0,0.0,1.0
1423458806529518129,449,1423458806485507965,0.218,-0.024,0.255,0.0,0.0,0.0,1.0
1423458806743174979,450,1423458806734286069,0.218,-0.024,0.255,0.0,0.0,0.0,1.0
1423458807006879933,451,1423458806978050947,0.218,-0.024,0.255,0.0,0.0,0.0,1.0
1423458807220558732,452,1423458807208755970,0.218,-0.024,0.255,0.0,0.0,0.0,1.0
1423458807484278200,453,1423458807435539960,0.218,-0.024,0.255,0.0,0.0,0.0,1.0
1423458807697921820,454,1423458807673293113,0.218,-0.024,0.255,0.0,0.0,0.0,1.0
1423458807911587636,455,1423458807895046949,0.221,-0.023,0.255,0.0,0.0,0.0,1.0
1423458808175305685,456,1423458808125737905,0.226,-0.025,0.254,0.0,0.0,0.0,1.0
1423458808388919523,457,1423458808354568958,0.24,-0.019,0.251,0.0,0.0,0.0,1.0
1423458808602571633,458,1423458808588284015,0.242,-0.024,0.253,0.0,0.0,0.0,1.0
1423458808866288369,459,1423458808818053007,0.249,-0.028,0.252,0.0,0.0,0.0,1.0
1423458809080007322,460,1423458809055763959,0.257,-0.033,0.252,0.0,0.0,0.0,1.0
1423458809343766920,461,1423458809297475099,0.267,-0.03,0.251,0.0,0.0,0.0,1.0
1423458809557424914,462,1423458809535239934,0.276,-0.03,0.251,0.0,0.0,0.0,1.0
1423458809821151746,463,1423458809776006937,0.274,-0.03,0.248,0.0,0.0,0.0,1.0
1423458810034776068,464,1423458810016793012,0.289,-0.029,0.25,0.0,0.0,0.0,1.0
1423458810248449701,465,1423458810245587110,0.292,-0.031,0.249,0.0,0.0,0.0,1.0
1423458810512263791,466,1423458810485356092,0.298,-0.031,0.249,0.0,0.0,0.0,1.0
1423458810775974964,467,1423458810734075069,0.312,-0.034,0.25,0.0,0.0,0.0,1.0
1423458810989632419,468,1423458810988760948,0.326,-0.03,0.248,0.0,0.0,0.0,1.0
1423458811253326763,469,1423458811216545104,0.328,-0.031,0.249,0.0,0.0,0.0,1.0
1423458811466963988,470,1423458811447321891,0.338,-0.03,0.249,0.0,0.0,0.0,1.0
1423458811680606588,471,1423458811674984931,0.353,-0.036,0.248,0.0,0.0,0.0,1.0
1423458812044479564,472,1423458812030651092,0.353,-0.032,0.248,0.0,0.0,0.0,1.0
1423458812408346377,473,1423458812365315914,0.371,-0.033,0.248,0.0,0.0,0.0,1.0
1423458812621972263,474,1423458812606981992,0.383,-0.033,0.25,0.0,0.0,0.0,1.0
1423458812885724208,475,1423458812846756935,0.388,-0.036,0.247,0.0,0.0,0.0,1.0
1423458813099382777,476,1423458813087562084,0.39,-0.036,0.247,0.0,0.0,0.0,1.0
