%time,field.header.seq,field.header.stamp,field.point.x,field.point.y,field.point.z,field.time_ref
1423459718072900639,940,1423459718026971101,0.394,-0.082,0.257,1423496194299999952
1423459718286529760,941,1423459718255706071,0.394,-0.082,0.257,1423496194599999904
1423459718500124774,942,1423459718486490964,0.394,-0.082,0.257,1423496194799999952
1423459718763735261,943,1423459718739253997,0.394,-0.082,0.257,1423496195099999904
1423459718977314268,944,1423459718959934949,0.394,-0.082,0.257,1423496195299999952
1423459719691629721,945,1423459719647264003,0.394,-0.082,0.257,1423496196000000000
1423459719905313831,946,1423459719889023065,0.394,-0.082,0.257,1423496196200000047
1423459720118964354,947,1423459720115757942,0.394,-0.082,0.257,1423496196400000095
1423459720382704835,948,1423459720349523067,0.394,-0.081,0.257,1423496196700000047
1423459720596342875,949,1423459720577250003,0.394,-0.081,0.257,1423496196900000095
1423459720860005647,950,1423459720827003002,0.394,-0.081,0.257,1423496197099999904
1423459721073736601,951,1423459721067735910,0.394,-0.082,0.257,1423496197400000095
1423459721337458984,952,1423459721296519994,0.394,-0.082,0.257,1423496197599999904
1423459721551118077,953,1423459721529237031,0.394,-0.082,0.257,1423496197799999952
1423459721814798916,954,1423459721768995046,0.394,-0.082,0.257,1423496198099999904
1423459722028421576,955,1423459722020771980,0.394,-0.081,0.257,1423496198299999952
1423459722242091743,956,1423459722226552963,0.394,-0.081,0.257,1423496198500000000
1423459722506008226,957,1423459722457307100,0.394,-0.081,0.257,1423496198799999952
1423459722719702095,958,1423459722701067924,0.394,-0.082,0.257,1423496199000000000
1423459722933353657,959,1423459722915853023,0.394,-0.082,0.257,1423496199200000047
1423459723197129644,960,1423459723149652957,0.394,-0.082,0.257,1423496199500000000
1423459723410851678,961,1423459723387392997,0.394,-0.081,0.257,1423496199700000047
1423459723624584739,962,1423459723618089914,0.394,-0.082,0.257,1423496199900000095
1423459723888391929,963,1423459723847929954,0.394,-0.081,0.257,1423496200200000047
1423459724102081389,964,1423459724076749086,0.394,-0.082,0.257,1423496200400000095
1423459724315726559,965,1423459724306487083,0.394,-0.082,0.257,1423496200599999904
1423459724579509595,966,1423459724540241003,0.394,-0.082,0.257,1423496200900000095
1423459724793210754,967,1423459724766974925,0.394,-0.081,0.257,1423496201099999904
1423459725006906851,968,1423459724996748924,0.394,-0.082,0.257,1423496201299999952
1423459725270795164,969,1423459725227519035,0.406,-0.086,0.25,1423496201500000000
1423459725484458566,970,1423459725456345081,0.41,-0.075,0.259,1423496201799999952
1423459725698157046,971,1423459725688079118,0.412,-0.079,0.252,1423496202000000000
1423459726162249788,972,1423459726152590990,0.44,-0.07,0.251,1423496202500000000
1423459726425979762,973,1423459726389288902,0.436,-0.065,0.257,1423496202700000047
1423459726639693528,974,1423459726627069950,0.463,-0.069,0.259,1423496202900000095
1423459726903401084,975,1423459726869820117,0.454,-0.065,0.254,1423496203200000047
1423459727117071102,976,1423459727106576919,0.472,-0.067,0.255,1423496203400000095
1423459727380837595,977,1423459727349325895,0.463,-0.061,0.247,1423496203700000047
1423459727594518565,978,1423459727588037967,0.482,-0.055,0.254,1423496203900000095
1423459727858285082,979,1423459727826797962,0.483,-0.059,0.245,1423496204099999904
1423459728322281938,980,1423459728307288885,0.498,-0.046,0.251,1423496204599999904
1423459728836329293,981,1423459728786803960,0.519,-0.042,0.252,1423496205099999904
1423459729050036982,982,1423459729028548002,0.518,-0.034,0.259,1423496205299999952
1423459729514059370,983,1423459729506004095,0.531,-0.032,0.255,1423496205799999952
1423459729777788303,984,1423459729753731966,0.55,-0.033,0.256,1423496206099999904
1423459729991460542,985,1423459729987524032,0.54,-0.028,0.249,1423496206299999952
1423459730255146969,986,1423459730227263927,0.567,-0.029,0.256,1423496206500000000
1423459730468836612,987,1423459730466968059,0.562,-0.027,0.247,1423496206799999952
1423459730782589629,988,1423459730740731000,0.575,-0.02,0.256,1423496207099999904
1423459730996391003,989,1423459730949532032,0.574,-0.021,0.251,1423496207299999952
1423459731460449809,990,1423459731430972099,0.599,-0.017,0.251,1423496207700000047
1423459732174881021,991,1423459732149337053,0.615,-0.001,0.256,1423496208500000000
1423459732388701305,992,1423459732387083053,0.637,-0.004,0.256,1423496208700000047
1423459732802639183,993,1423459732776649951,0.642,0.003,0.257,1423496209099999904
1423459733266744877,994,1423459733247009992,0.656,0.008,0.254,1423496209599999904
1423459733480442611,995,1423459733467767000,0.655,0.015,0.256,1423496209799999952
1423459733744260319,996,1423459733707484960,0.68,0.011,0.26,1423496210000000000
1423459733957873035,997,1423459733950275897,0.673,0.017,0.254,1423496210299999952
1423459734221683063,998,1423459734187091112,0.689,0.016,0.256,1423496210500000000
1423459734435428555,999,1423459734427788972,0.678,0.019,0.248,1423496210700000047
1423459734949496413,1000,1423459734907263994,0.703,0.022,0.246,1423496211200000047
1423459735163196943,1001,1423459735149064064,0.715,0.033,0.259,1423496211500000000
1423459735426934153,1002,1423459735389761924,0.716,0.028,0.255,1423496211700000047
1423459735890925168,1003,1423459735868246078,0.737,0.037,0.252,1423496212200000047
1423459736154653440,1004,1423459736107954978,0.739,0.041,0.251,1423496212400000095
1423459736368393111,1005,1423459736362685918,0.758,0.04,0.262,1423496212700000047
1423459736632091361,1006,1423459736588463068,0.75,0.05,0.258,1423496212900000095
1423459736845776759,1007,1423459736842212915,0.769,0.046,0.254,1423496213200000047
1423459737109543648,1008,1423459737067945003,0.761,0.053,0.255,1423496213400000095
1423459737573539165,1009,1423459737531408071,0.784,0.063,0.251,1423496213799999952
1423459737787190920,1010,1423459737760178089,0.797,0.065,0.254,1423496214099999904
1423459738000837877,1011,1423459737997955083,0.79,0.062,0.252,1423496214299999952
1423459738464836252,1012,1423459738457489013,0.811,0.066,0.247,1423496214799999952
1423459738728500485,1013,1423459738686279058,0.824,0.076,0.257,1423496215000000000
1423459738992186741,1014,1423459738950936079,0.822,0.071,0.253,1423496215299999952
1423459739205820923,1015,1423459739177740097,0.837,0.08,0.258,1423496215500000000
1423459739669858040,1016,1423459739638297080,0.845,0.088,0.26,1423496216000000000
1423459739883537935,1017,1423459739879059076,0.861,0.084,0.262,1423496216200000047
1423459740147257068,1018,1423459740115797042,0.855,0.095,0.256,1423496216400000095
1423459740360907677,1019,1423459740360534906,0.875,0.093,0.257,1423496216700000047
1423459740624643946,1020,1423459740598294019,0.866,0.101,0.248,1423496216900000095
1423459740888370508,1021,1423459740838041067,0.886,0.101,0.257,1423496217200000047
1423459741102051474,1022,1423459741078808069,0.888,0.1,0.248,1423496217400000095
1423459741365809639,1023,1423459741318594932,0.9,0.111,0.261,1423496217599999904
1423459741579451955,1024,1423459741559345006,0.902,0.109,0.256,1423496217900000095
1423459742043511278,1025,1423459742039906978,0.921,0.112,0.256,1423496218400000095
1423459742307297917,1026,1423459742278662919,0.928,0.123,0.261,1423496218599999904
1423459742520932094,1027,1423459742508373975,0.939,0.119,0.262,1423496218799999952
1423459742784734397,1028,1423459742761207103,0.935,0.125,0.257,1423496219099999904
1423459742998405850,1029,1423459742997912883,0.953,0.122,0.258,1423496219299999952
1423459743462398211,1030,1423459743458390951,0.97,0.129,0.26,1423496219799999952
1423459743726107313,1031,1423459743689184904,0.965,0.134,0.253,1423496220000000000
1423459744640652014,1032,1423459744617281913,0.996,0.145,0.248,1423496220900000095
1423459745104675684,1033,1423459745077852964,1.004,0.15,0.252,1423496221400000095
1423459745568660428,1034,1423459745540285110,1.025,0.154,0.251,1423496221900000095
1423459746032672460,1035,1423459745996861934,1.036,0.165,0.256,1423496222299999952
1423459746246319458,1036,1423459746228552103,1.046,0.169,0.258,1423496222500000000
1423459746459976782,1037,1423459746458327054,1.055,0.166,0.256,1423496222799999952
1423459746974067468,1038,1423459746941829919,1.076,0.171,0.261,1423496223299999952
1423459747187730619,1039,1423459747178534984,1.071,0.18,0.254,1423496223500000000
1423459747451453194,1040,1423459747426281929,1.086,0.187,0.254,1423496223700000047
1423459747665134583,1041,1423459747658075094,1.078,0.184,0.249,1423496224000000000
1423459748179279595,1042,1423459748139553070,1.102,0.188,0.248,1423496224500000000
1423459748393006139,1043,1423459748378334999,1.112,0.201,0.261,1423496224700000047
1423459748656744697,1044,1423459748618985891,1.117,0.197,0.258,1423496224900000095
1423459748870485161,1045,1423459748860682964,1.118,0.206,0.258,1423496225200000047
1423459749134225611,1046,1423459749098500967,1.128,0.205,0.25,1423496225400000095
1423459749347911953,1047,1423459749341198921,1.132,0.213,0.258,1423496225700000047
1423459749862032224,1048,1423459749818746089,1.147,0.214,0.255,1423496226099999904
1423459751025984304,1049,1423459750996577024,1.19,0.223,0.261,1423496227299999952
1423459751239660671,1050,1423459751228324890,1.187,0.233,0.251,1423496227500000000
1423459751503437557,1051,1423459751458065986,1.203,0.241,0.256,1423496227799999952
1423459751717253557,1052,1423459751690833091,1.204,0.233,0.249,1423496228000000000
1423459751930837652,1053,1423459751919568061,1.215,0.248,0.257,1423496228200000047
1423459752645176846,1054,1423459752611804962,1.232,0.251,0.251,1423496228900000095
