%time,field.header.seq,field.header.stamp,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1423459718075148243,828,1423459718026971101,0.394,-0.082,0.257,0.0,0.0,0.0,1.0
1423459718288751587,829,1423459718255706071,0.394,-0.082,0.257,0.0,0.0,0.0,1.0
1423459718502451939,830,1423459718486490964,0.394,-0.082,0.257,0.0,0.0,0.0,1.0
1423459718766178155,831,1423459718739253997,0.394,-0.082,0.257,0.0,0.0,0.0,1.0
1423459718979791997,832,1423459718959934949,0.394,-0.082,0.257,0.0,0.0,0.0,1.0
1423459719694181098,833,1423459719647264003,0.394,-0.082,0.257,0.0,0.0,0.0,1.0
1423459719907858591,834,1423459719889023065,0.394,-0.082,0.257,0.0,0.0,0.0,1.0
1423459720121500814,835,1423459720115757942,0.394,-0.082,0.257,0.0,0.0,0.0,1.0
1423459720385284451,836,1423459720349523067,0.394,-0.081,0.257,0.0,0.0,0.0,1.0
1423459720598925025,837,1423459720577250003,0.394,-0.081,0.257,0.0,0.0,0.0,1.0
1423459720862608298,838,1423459720827003002,0.394,-0.081,0.257,0.0,0.0,0.0,1.0
1423459721076241230,839,1423459721067735910,0.394,-0.082,0.257,0.0,0.0,0.0,1.0
1423459721339907837,840,1423459721296519994,0.394,-0.082,0.257,0.0,0.0,0.0,1.0
1423459721553518085,841,1423459721529237031,0.394,-0.082,0.257,0.0,0.0,0.0,1.0
1423459721817254002,842,1423459721768995046,0.394,-0.082,0.257,0.0,0.0,0.0,1.0
1423459722030880408,843,1423459722020771980,0.394,-0.081,0.257,0.0,0.0,0.0,1.0
1423459722244535007,844,1423459722226552963,0.394,-0.081,0.257,0.0,0.0,0.0,1.0
1423459722458162544,845,1423459722457307100,0.394,-0.081,0.257,0.0,0.0,0.0,1.0
1423459722721893060,846,1423459722701067924,0.394,-0.082,0.257,0.0,0.0,0.0,1.0
1423459722935565800,847,1423459722915853023,0.394,-0.082,0.257,0.0,0.0,0.0,1.0
1423459723199203180,848,1423459723149652957,0.394,-0.082,0.257,0.0,0.0,0.0,1.0
1423459723412874749,849,1423459723387392997,0.394,-0.081,0.257,0.0,0.0,0.0,1.0
1423459723626515707,850,1423459723618089914,0.394,-0.082,0.257,0.0,0.0,0.0,1.0
1423459723890173408,851,1423459723847929954,0.394,-0.081,0.257,0.0,0.0,0.0,1.0
1423459724103741649,852,1423459724076749086,0.394,-0.082,0.257,0.0,0.0,0.0,1.0
1423459724317358573,853,1423459724306487083,0.394,-0.082,0.257,0.0,0.0,0.0,1.0
1423459724581031278,854,1423459724540241003,0.394,-0.082,0.257,0.0,0.0,0.0,1.0
1423459724794688048,855,1423459724766974925,0.394,-0.081,0.257,0.0,0.0,0.0,1.0
1423459725008282287,856,1423459724996748924,0.394,-0.082,0.257,0.0,0.0,0.0,1.0
1423459725272045593,857,1423459725227519035,0.406,-0.086,0.25,0.0,0.0,0.0,1.0
1423459725485685799,858,1423459725456345081,0.41,-0.075,0.259,0.0,0.0,0.0,1.0
1423459725699280752,859,1423459725688079118,0.412,-0.079,0.252,0.0,0.0,0.0,1.0
1423459726163281069,860,1423459726152590990,0.44,-0.07,0.251,0.0,0.0,0.0,1.0
1423459726426921649,861,1423459726389288902,0.436,-0.065,0.257,0.0,0.0,0.0,1.0
1423459726640597417,862,1423459726627069950,0.463,-0.069,0.259,0.0,0.0,0.0,1.0
1423459726904303767,863,1423459726869820117,0.454,-0.065,0.254,0.0,0.0,0.0,1.0
1423459727117962696,864,1423459727106576919,0.472,-0.067,0.255,0.0,0.0,0.0,1.0
1423459727381659520,865,1423459727349325895,0.463,-0.061,0.247,0.0,0.0,0.0,1.0
1423459727595323857,866,1423459727588037967,0.482,-0.055,0.254,0.0,0.0,0.0,1.0
1423459727859042779,867,1423459727826797962,0.483,-0.059,0.245,0.0,0.0,0.0,1.0
1423459728323110076,868,1423459728307288885,0.498,-0.046,0.251,0.0,0.0,0.0,1.0
1423459728787186121,869,1423459728786803960,0.519,-0.042,0.252,0.0,0.0,0.0,1.0
1423459729050910002,870,1423459729028548002,0.518,-0.034,0.259,0.0,0.0,0.0,1.0
1423459729514928552,871,1423459729506004095,0.531,-0.032,0.255,0.0,0.0,0.0,1.0
1423459729778684781,872,1423459729753731966,0.55,-0.033,0.256,0.0,0.0,0.0,1.0
1423459729992362542,873,1423459729987524032,0.54,-0.028,0.249,0.0,0.0,0.0,1.0
1423459730256164634,874,1423459730227263927,0.567,-0.029,0.256,0.0,0.0,0.0,1.0
1423459730469860834,875,1423459730466968059,0.562,-0.027,0.247,0.0,0.0,0.0,1.0
1423459730783774159,876,1423459730740731000,0.575,-0.02,0.256,0.0,0.0,0.0,1.0
1423459730997420981,877,1423459730949532032,0.574,-0.021,0.251,0.0,0.0,0.0,1.0
1423459731461544317,878,1423459731430972099,0.599,-0.017,0.251,0.0,0.0,0.0,1.0
1423459732175881527,879,1423459732149337053,0.615,-0.001,0.256,0.0,0.0,0.0,1.0
1423459732389568963,880,1423459732387083053,0.637,-0.004,0.256,0.0,0.0,0.0,1.0
1423459732803610406,881,1423459732776649951,0.642,0.003,0.257,0.0,0.0,0.0,1.0
1423459733267631473,882,1423459733247009992,0.656,0.008,0.254,0.0,0.0,0.0,1.0
1423459733481277096,883,1423459733467767000,0.655,0.015,0.256,0.0,0.0,0.0,1.0
1423459733745029950,884,1423459733707484960,0.68,0.011,0.26,0.0,0.0,0.0,1.0
1423459733958664569,885,1423459733950275897,0.673,0.017,0.254,0.0,0.0,0.0,1.0
1423459734222401828,886,1423459734187091112,0.689,0.016,0.256,0.0,0.0,0.0,1.0
1423459734436019229,887,1423459734427788972,0.678,0.019,0.248,0.0,0.0,0.0,1.0
1423459734949981230,888,1423459734907263994,0.703,0.022,0.246,0.0,0.0,0.0,1.0
1423459735163564888,889,1423459735149064064,0.715,0.033,0.259,0.0,0.0,0.0,1.0
1423459735427225116,890,1423459735389761924,0.716,0.028,0.255,0.0,0.0,0.0,1.0
1423459735891052508,891,1423459735868246078,0.737,0.037,0.252,0.0,0.0,0.0,1.0
1423459736154785718,892,1423459736107954978,0.739,0.041,0.251,0.0,0.0,0.0,1.0
1423459736368486731,893,1423459736362685918,0.758,0.04,0.262,0.0,0.0,0.0,1.0
1423459736632199873,894,1423459736588463068,0.75,0.05,0.258,0.0,0.0,0.0,1.0
1423459736846054476,895,1423459736842212915,0.769,0.046,0.254,0.0,0.0,0.0,1.0
1423459737109803656,896,1423459737067945003,0.761,0.053,0.255,0.0,0.0,0.0,1.0
1423459737574010469,897,1423459737531408071,0.784,0.063,0.251,0.0,0.0,0.0,1.0
1423459737787695176,898,1423459737760178089,0.797,0.065,0.254,0.0,0.0,0.0,1.0
1423459738001331765,899,1423459737997955083,0.79,0.062,0.252,0.0,0.0,0.0,1.0
1423459738465269886,900,1423459738457489013,0.811,0.066,0.247,0.0,0.0,0.0,1.0
1423459738728978980,901,1423459738686279058,0.824,0.076,0.257,0.0,0.0,0.0,1.0
1423459738992638505,902,1423459738950936079,0.822,0.071,0.253,0.0,0.0,0.0,1.0
1423459739206314101,903,1423459739177740097,0.837,0.08,0.258,0.0,0.0,0.0,1.0
1423459739670439577,904,1423459739638297080,0.845,0.088,0.26,0.0,0.0,0.0,1.0
1423459739884129763,905,1423459739879059076,0.861,0.084,0.262,0.0,0.0,0.0,1.0
1423459740147885602,906,1423459740115797042,0.855,0.095,0.256,0.0,0.0,0.0,1.0
1423459740361578214,907,1423459740360534906,0.875,0.093,0.257,0.0,0.0,0.0,1.0
1423459740625352180,908,1423459740598294019,0.866,0.101,0.248,0.0,0.0,0.0,1.0
1423459740839282321,909,1423459740838041067,0.886,0.101,0.257,0.0,0.0,0.0,1.0
1423459741103098043,910,1423459741078808069,0.888,0.1,0.248,0.0,0.0,0.0,1.0
1423459741366834764,911,1423459741318594932,0.9,0.111,0.261,0.0,0.0,0.0,1.0
1423459741580607524,912,1423459741559345006,0.902,0.109,0.256,0.0,0.0,0.0,1.0
1423459742044584941,913,1423459742039906978,0.921,0.112,0.256,0.0,0.0,0.0,1.0
1423459742308261448,914,1423459742278662919,0.928,0.123,0.261,0.0,0.0,0.0,1.0
1423459742521868827,915,1423459742508373975,0.939,0.119,0.262,0.0,0.0,0.0,1.0
1423459742785589860,916,1423459742761207103,0.935,0.125,0.257,0.0,0.0,0.0,1.0
1423459742999199602,917,1423459742997912883,0.953,0.122,0.258,0.0,0.0,0.0,1.0
1423459743463183821,918,1423459743458390951,0.97,0.129,0.26,0.0,0.0,0.0,1.0
1423459743726877478,919,1423459743689184904,0.965,0.134,0.253,0.0,0.0,0.0,1.0
1423459744641337788,920,1423459744617281913,0.996,0.145,0.248,0.0,0.0,0.0,1.0
1423459745105257998,921,1423459745077852964,1.004,0.15,0.252,0.0,0.0,0.0,1.0
1423459745569292428,922,1423459745540285110,1.025,0.154,0.251,0.0,0.0,0.0,1.0
1423459746033344191,923,1423459745996861934,1.036,0.165,0.256,0.0,0.0,0.0,1.0
1423459746246954994,924,1423459746228552103,1.046,0.169,0.258,0.0,0.0,0.0,1.0
1423459746460611475,925,1423459746458327054,1.055,0.166,0.256,0.0,0.0,0.0,1.0
1423459746974706078,926,1423459746941829919,1.076,0.171,0.261,0.0,0.0,0.0,1.0
1423459747188371436,927,1423459747178534984,1.071,0.18,0.254,0.0,0.0,0.0,1.0
1423459747452088352,928,1423459747426281929,1.086,0.187,0.254,0.0,0.0,0.0,1.0
1423459747665715910,929,1423459747658075094,1.078,0.184,0.249,0.0,0.0,0.0,1.0
1423459748179791761,930,1423459748139553070,1.102,0.188,0.248,0.0,0.0,0.0,1.0
1423459748393421849,931,1423459748378334999,1.112,0.201,0.261,0.0,0.0,0.0,1.0
1423459748657133307,932,1423459748618985891,1.117,0.197,0.258,0.0,0.0,0.0,1.0
1423459748870767960,933,1423459748860682964,1.118,0.206,0.258,0.0,0.0,0.0,1.0
1423459749134430849,934,1423459749098500967,1.128,0.205,0.25,0.0,0.0,0.0,1.0
1423459749348047692,935,1423459749341198921,1.132,0.213,0.258,0.0,0.0,0.0,1.0
1423459749862159141,936,1423459749818746089,1.147,0.214,0.255,0.0,0.0,0.0,1.0
1423459751025855408,937,1423459750996577024,1.19,0.223,0.261,0.0,0.0,0.0,1.0
1423459751239530890,938,1423459751228324890,1.187,0.233,0.251,0.0,0.0,0.0,1.0
1423459751503306924,939,1423459751458065986,1.203,0.241,0.256,0.0,0.0,0.0,1.0
1423459751717081273,940,1423459751690833091,1.204,0.233,0.249,0.0,0.0,0.0,1.0
1423459751930772025,941,1423459751919568061,1.215,0.248,0.257,0.0,0.0,0.0,1.0
1423459752645268427,942,1423459752611804962,1.232,0.251,0.251,0.0,0.0,0.0,1.0
1423459752858958109,943,1423459752838538885,1.237,0.266,0.262,0.0,0.0,0.0,1.0
1423459753322901274,944,1423459753303096055,1.247,0.269,0.257,0.0,0.0,0.0,1.0
1423459753586672502,945,1423459753550918102,1.257,0.266,0.253,0.0,0.0,0.0,1.0
1423459753800380195,946,1423459753778557062,1.26,0.28,0.259,0.0,0.0,0.0,1.0
1423459754014004169,947,1423459754008414030,1.275,0.273,0.263,0.0,0.0,0.0,1.0
1423459754277681641,948,1423459754241120100,1.273,0.282,0.255,0.0,0.0,0.0,1.0
1423459754491330043,949,1423459754477899074,1.285,0.28,0.259,0.0,0.0,0.0,1.0
1423459754755031671,950,1423459754739593029,1.285,0.29,0.258,0.0,0.0,0.0,1.0
1423459755219208454,951,1423459755178257942,1.301,0.298,0.254,0.0,0.0,0.0,1.0
1423459755432899980,952,1423459755409893989,1.311,0.306,0.252,0.0,0.0,0.0,1.0
